method_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_E0,1,4,random,11,0.08041243978858903,4.934182435207933,4.300826626319317
M3_E0,1,4,random,12,0.1549596226793084,4.624654134557468,3.9721978839127883
M3_E0,1,4,random,13,0.1326985047056546,4.777980041808828,3.869804109092735
M3_E0,1,4,random,14,0.21058636303118466,4.677530089223354,4.070446006054657
M3_E0,1,4,random,15,0.16843872527815099,4.588868169118347,3.9349714277300487
M3_E0,1,4,random,16,0.17641625877386946,5.946136681810088,5.2136681543640755
M3_E0,1,4,random,17,0.19605908387225396,4.716593019624687,4.086883135862426
M3_E0,1,4,random,18,0.1926208655983206,4.705861091467359,4.077478208281792
M3_E0,1,4,random,19,0.21028899807953763,4.517599391343977,3.828837351067947
M3_E0,1,4,top,-1,0.057042994673158556,5.0310856849121155,4.392376899458025
M3_E0,1,4,bottom,-1,0.19150567471582433,4.54955926040656,3.8226309763395214
M3_E0,1,4,prior_true_top,-1,0.2008568143261067,5.132924282276537,4.502205363753062
M3_E0,1,4,prior_random_top,-1,0.14204285504822595,4.9627723975060665,4.338749601798405
M3_E0,2,0,random,0,0.324039419317828,4.8396399613383165,4.026491667899177
M3_E0,2,0,random,1,0.3138863254863657,4.841705674461004,4.029572153192124
M3_E0,2,0,random,2,0.06584587760702727,4.842054990031459,4.031645107413458
M3_E0,2,0,random,3,0.20698590113941479,4.841661058387562,4.029965749415573
M3_E0,2,0,random,4,0.19492081577363463,4.841164775864844,4.030684439771579
M3_E0,2,0,random,5,0.21637481344454496,4.840462654908011,4.030944012439813
M3_E0,2,0,random,6,0.01764847180709294,4.842325972452838,4.032743162225959
M3_E0,2,0,random,7,0.08165746717542081,4.842066485546595,4.030343250765697
M3_E0,2,0,random,8,0.15341974025507954,4.841998873621559,4.030313892877998
M3_E0,2,0,random,9,0.10222849733625732,4.84182563584118,4.0327493438609885
M3_E0,2,0,random,10,0.03742196690838059,4.842125705246569,4.030973631730856
M3_E0,2,0,random,11,0.10749295375583158,4.841990396897928,4.0307998742921445
M3_E0,2,0,random,12,0.1855157512228519,4.8374749692001044,4.032834926455069
M3_E0,2,0,random,13,-0.03774997113045467,4.84212419913937,4.030284953781975
M3_E0,2,0,random,14,0.1587297042623336,4.841877075336859,4.030491823617948
M3_E0,2,0,random,15,0.037932940512642684,4.8422285272629715,4.032712908586956
M3_E0,2,0,random,16,0.14721027009836016,4.841974489269078,4.030350694610445
M3_E0,2,0,random,17,0.1412938403285622,4.840844262601341,4.035096478502811
M3_E0,2,0,random,18,0.23900380859525167,4.841529784385506,4.029629128423277
M3_E0,2,0,random,19,0.24493297269900585,4.833710922667201,4.019264938772236
M3_E0,2,0,top,-1,0.3759697203300291,4.833047086372681,4.018422856518697
M3_E0,2,0,bottom,-1,0.14448433239787417,4.8416731554460535,4.0323016882972125
M3_E0,2,0,prior_true_top,-1,0.2668980151389483,4.841795338824265,4.029957230714276
M3_E0,2,0,prior_random_top,-1,0.24759621792876263,4.837888346438247,4.031049778920394
M3_E0,2,1,random,0,0.32338890765110295,5.395624782470881,4.623218292479393
M3_E0,2,1,random,1,0.3437582480133683,4.546445600047975,4.00790810505841
M3_E0,2,1,random,2,0.38426700564091854,4.664565972803714,3.9465794973400468
