method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
no_prior_ridge,fluid_intelligence,100,0,3,68,12,20,1.140397071838379,-0.0601760784365124,5.597569432783821,4.642039540615994
ncr_contrastive,fluid_intelligence,100,0,4,68,12,20,13.693639993667604,0.2260638464786372,4.637216570075211,3.88637915140038
no_prior_ridge,fluid_intelligence,100,0,4,68,12,20,0.558295488357544,0.3521233299890988,4.359137696460612,3.686806300581289
ncr_contrastive,fluid_intelligence,100,1,0,68,12,20,13.449246406555176,0.018897996370695,4.764049278399026,4.049368180715739
no_prior_ridge,fluid_intelligence,100,1,0,68,12,20,0.1750061511993408,0.0193741602024093,4.764047528225448,4.049365900831978
ncr_contrastive,fluid_intelligence,100,1,1,68,12,20,13.099406242370604,-0.0420358029233466,5.613961121024996,4.8126505765345255
no_prior_ridge,fluid_intelligence,100,1,1,68,12,20,0.3633608818054199,-0.0416182469749502,5.613959735206518,4.812649749247529
ncr_contrastive,fluid_intelligence,100,1,2,68,12,20,13.647165775299072,0.321243145230747,5.072385684754296,4.634197025880458
no_prior_ridge,fluid_intelligence,100,1,2,68,12,20,0.1801018714904785,0.3212431452307472,5.072385684754295,4.634197025880458
ncr_contrastive,fluid_intelligence,100,1,3,68,12,20,13.151732921600342,0.133052418464403,5.170978246057956,4.498799327327247
no_prior_ridge,fluid_intelligence,100,1,3,68,12,20,0.2226932048797607,0.1990871113416712,5.054581970705852,4.377559278514871
ncr_contrastive,fluid_intelligence,100,1,4,68,12,20,11.14678192138672,0.2049555473330382,4.170441352089196,3.4101909146332448
no_prior_ridge,fluid_intelligence,100,1,4,68,12,20,0.2906656265258789,0.2049555473330388,4.170441352089196,3.4101909146332448
ncr_contrastive,fluid_intelligence,100,2,0,68,12,20,11.580946683883669,0.0912143348893609,6.066594928704384,5.389548932323244
no_prior_ridge,fluid_intelligence,100,2,0,68,12,20,0.8002121448516846,0.0912143348893612,6.066594928704384,5.389548932323244
ncr_contrastive,fluid_intelligence,100,2,1,68,12,20,12.514300346374512,0.1300042318299056,5.425526435546619,4.384991401352202
no_prior_ridge,fluid_intelligence,100,2,1,68,12,20,0.2275393009185791,0.1300042318299059,5.425526435546617,4.384991401352201
ncr_contrastive,fluid_intelligence,100,2,2,68,12,20,13.169041633605955,0.1677696702631092,3.8556527830596266,3.2932504008826533
no_prior_ridge,fluid_intelligence,100,2,2,68,12,20,0.841998815536499,0.1677696702631095,3.855652783059626,3.293250400882653
ncr_contrastive,fluid_intelligence,100,2,3,68,12,20,12.72003936767578,0.0921614845984213,5.563732056108496,4.573455862448797
no_prior_ridge,fluid_intelligence,100,2,3,68,12,20,0.8791861534118652,0.0921614845984205,5.563732056108498,4.573455862448798
ncr_contrastive,fluid_intelligence,100,2,4,68,12,20,12.733073234558104,0.3007605818810577,4.6614162622353525,3.853226762175525
no_prior_ridge,fluid_intelligence,100,2,4,68,12,20,0.2510876655578613,0.3007605818810583,4.6614162622353525,3.853226762175525
ncr_contrastive,working_memory,100,0,0,68,12,20,12.260300874710085,0.1359162907726057,10.791383847742152,8.057565748840549
no_prior_ridge,working_memory,100,0,0,68,12,20,0.3563985824584961,0.1532527075173591,10.807020738639656,7.961488452814362
ncr_contrastive,working_memory,100,0,1,68,12,20,12.133615732192991,0.1797163146905249,11.089875000796296,8.835475802282826
no_prior_ridge,working_memory,100,0,1,68,12,20,0.4238815307617187,0.1797163146905246,11.089875000796296,8.83547580228283
ncr_contrastive,working_memory,100,0,2,68,12,20,12.22608518600464,0.1264090100953344,13.777962770283036,10.279836548066788
no_prior_ridge,working_memory,100,0,2,68,12,20,0.4181840419769287,0.1262362030526862,14.03817564911737,10.59105795862171
ncr_contrastive,working_memory,100,0,3,68,12,20,14.060726881027222,0.2440210734750993,12.194344867034792,10.074621498996104
no_prior_ridge,working_memory,100,0,3,68,12,20,0.2550115585327148,0.2440210734750992,12.194344867034795,10.07462149899611
ncr_contrastive,working_memory,100,0,4,68,12,20,13.492111682891846,0.432894075049139,11.473024661745386,9.422900418241626
no_prior_ridge,working_memory,100,0,4,68,12,20,0.7626640796661377,0.4328940750491387,11.473024661745388,9.422900418241628
ncr_contrastive,working_memory,100,1,0,68,12,20,12.563112258911133,0.2259817573481325,15.395905674283377,13.4116224701196
no_prior_ridge,working_memory,100,1,0,68,12,20,0.4131379127502441,0.1462123488839819,15.696078749091868,13.865111393325035
ncr_contrastive,working_memory,100,1,1,68,12,20,15.53590965270996,0.1950750820791355,10.36100495987125,8.966972547214933
no_prior_ridge,working_memory,100,1,1,68,12,20,0.3144609928131103,0.1950750820791345,10.361004959871256,8.96697254721494
ncr_contrastive,working_memory,100,1,2,68,12,20,12.51092004776001,0.161247466441141,10.781606403724709,8.599841421872275
no_prior_ridge,working_memory,100,1,2,68,12,20,0.7264566421508789,0.161247466441141,10.781606403724709,8.599841421872275
ncr_contrastive,working_memory,100,1,3,68,12,20,11.427443981170654,0.0320960274035028,9.332342353287514,7.562529605388628
no_prior_ridge,working_memory,100,1,3,68,12,20,0.6354458332061768,0.0320960274035036,9.332342353287514,7.562529605388629
ncr_contrastive,working_memory,100,1,4,68,12,20,13.795583009719849,-0.0734033944860058,10.338988310439404,8.943760201579163
no_prior_ridge,working_memory,100,1,4,68,12,20,0.1735963821411132,-0.0734033944860058,10.338988310439404,8.943760201579163
ncr_contrastive,working_memory,100,2,0,68,12,20,13.537073612213137,0.4440522037811115,11.843423121630996,9.913367811020382
no_prior_ridge,working_memory,100,2,0,68,12,20,0.3845918178558349,0.4440522037811131,11.843423121630996,9.913367811020382
ncr_contrastive,working_memory,100,2,1,68,12,20,12.64818263053894,-0.2639866414624182,10.275041639073264,8.03430287216003
no_prior_ridge,working_memory,100,2,1,68,12,20,0.3256242275238037,-0.2639866414624182,10.275041639073264,8.03430287216003
ncr_contrastive,working_memory,100,2,2,68,12,20,15.1738178730011,0.2596160660103407,11.19886730020079,8.78353474369847
no_prior_ridge,working_memory,100,2,2,68,12,20,0.225266695022583,0.2596160660103409,11.19886730020079,8.783534743698464
ncr_contrastive,working_memory,100,2,3,68,12,20,15.730045318603516,0.208071225462085,10.779616675308937,8.810503324075146
no_prior_ridge,working_memory,100,2,3,68,12,20,0.19049072265625,0.208071225462085,10.779616675308937,8.810503324075146
ncr_contrastive,working_memory,100,2,4,68,12,20,14.818354845046995,-0.2882469573473805,15.60247502048483,12.385861351666469
no_prior_ridge,working_memory,100,2,4,68,12,20,0.2215795516967773,-0.2882469573473807,15.602475020484832,12.385861351666474
ncr_contrastive,fluid_intelligence,200,0,0,136,24,40,22.521942138671875,0.4149860665862031,4.725352534754808,3.5941048391211394
no_prior_ridge,fluid_intelligence,200,0,0,136,24,40,4.292685270309448,0.4239894411165166,4.738902955822088,3.7244620381781472
ncr_contrastive,fluid_intelligence,200,0,1,136,24,40,19.692620515823364,0.2842811911034815,5.191390217435377,4.489249757028995
no_prior_ridge,fluid_intelligence,200,0,1,136,24,40,1.1709299087524414,0.2948211608438555,5.141482307291692,4.393831227511456
ncr_contrastive,fluid_intelligence,200,0,2,136,24,40,20.82835268974304,0.2814420873140379,4.3560097918722525,3.687478225486244
no_prior_ridge,fluid_intelligence,200,0,2,136,24,40,0.6358752250671387,0.2723095650927672,4.40061573213479,3.721918843613528
ncr_contrastive,fluid_intelligence,200,0,3,136,24,40,21.45394897460937,0.5480965760663146,3.9223417789000017,3.337157987576623
no_prior_ridge,fluid_intelligence,200,0,3,136,24,40,0.9576866626739502,0.5480965760663148,3.9223417789000017,3.337157987576622
ncr_contrastive,fluid_intelligence,200,0,4,136,24,40,21.7374119758606,0.4255251456067455,4.3565799027267165,3.713622184740247
no_prior_ridge,fluid_intelligence,200,0,4,136,24,40,0.8166580200195312,0.425525145606745,4.356579902726717,3.713622184740248
ncr_contrastive,fluid_intelligence,200,1,0,136,24,40,22.214731216430664,-0.0627835355700561,5.062897450967512,4.158033821577051
no_prior_ridge,fluid_intelligence,200,1,0,136,24,40,0.6518352031707764,-0.0374875140753362,5.076907061965367,4.175416781395149
ncr_contrastive,fluid_intelligence,200,1,1,136,24,40,21.08950161933899,0.4100074473969806,4.9697569284311465,4.24956304869078
no_prior_ridge,fluid_intelligence,200,1,1,136,24,40,0.6001436710357666,0.4100074473969806,4.9697569284311465,4.24956304869078
ncr_contrastive,fluid_intelligence,200,1,2,136,24,40,21.91087555885315,0.2899902811506333,4.990680042186166,4.147965781584155
