model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,selected_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,random_control,working_memory,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.300555273979312,10.951109794446412,9.430340464522198,82.1899905204773,2.0864081382751465,0.4966265559196472,,0.75,0.75,,,
llm_gated,random_control,working_memory,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,11.0,61505.0,0.1574746334224774,13.525695058759853,11.252545337211792,67.47563982009888,2.2399492263793945,0.4580236375331878,,1.0,1.0,,,
llm_gated,no_prior,working_memory,0,0,seed00_fold00,279,50,83,16.0,0.2,0.001,14.0,61505.0,0.1411170838676032,10.509539874529198,8.16714901843703,90.54754281044006,2.204300880432129,0.335167795419693,,0.25,0.25,,,
llm_gated,no_prior,working_memory,0,1,seed00_fold01,279,50,83,16.0,0.2,0.001,16.0,61505.0,0.1110621539104648,11.581398989966177,9.265584536632858,102.91942071914671,2.3563921451568604,0.4751601815223694,,0.5,0.5,,,
llm_gated,no_prior,working_memory,0,2,seed00_fold02,280,50,82,16.0,0.2,0.001,11.0,61505.0,0.107667986804809,11.80859827269669,9.65861744206126,109.34798002243042,2.57284951210022,0.3693612217903137,,0.75,0.75,,,
llm_gated,no_prior,working_memory,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.3010843674799509,10.949099598351369,9.433564255877238,91.07321739196776,2.8472208976745605,0.4815030992031097,,0.75,0.75,,,
llm_gated,no_prior,working_memory,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,11.0,61505.0,0.1639933119924777,13.507367616384084,11.23529239189334,98.55487728118896,2.1787989139556885,0.4492591917514801,,1.0,1.0,,,
ncr,llm_wm,working_memory,0,0,seed00_fold00,279,50,83,,,,,,0.1441694351667021,10.771485575162249,8.659998798672143,13.068211317062378,0.2104988396167755,2.349241018295288,,50.0,,0.01,0.5,11.526055247311636
ncr,llm_wm,working_memory,0,1,seed00_fold01,279,50,83,,,,,,0.1781225375437793,11.586314609288696,9.235481166712288,12.237786293029783,0.2914152443408966,2.4030776023864746,,0.0,,0.01,0.0,9.44191961356409
ncr,llm_wm,working_memory,0,2,seed00_fold02,280,50,82,,,,,,0.1644393331898228,11.835438546730977,9.479632138746258,10.921663522720335,0.214523360133171,0.9317507743835448,,0.0,,1.0,0.0,9.402164173673896
ncr,llm_wm,working_memory,0,3,seed00_fold03,280,50,82,,,,,,0.2030133563784407,11.381126859757968,9.472463974328802,11.016961336135864,0.6832894086837769,0.0748677849769592,,0.1,,100.0,10.0,11.571404696882196
ncr,llm_wm,working_memory,0,4,seed00_fold04,280,50,82,,,,,,0.3092289061256016,13.061735491147036,10.913840716197752,8.57019329071045,0.2206023931503296,0.9149115085601808,,0.0,,1.0,0.0,11.4108449254676
ncr,llm_fluid,working_memory,0,0,seed00_fold00,279,50,83,,,,,,0.1145374378052552,11.005665291318126,9.205788265074997,10.744565963745115,0.2211532294750213,2.3339831829071045,,50.0,,0.01,0.5,11.169432172820336
ncr,llm_fluid,working_memory,0,1,seed00_fold01,279,50,83,,,,,,0.1781225375437826,11.586314609288666,9.235481166712264,9.481375455856323,0.2914152443408966,2.4030776023864746,,0.0,,0.01,0.0,9.44191961356414
ncr,llm_fluid,working_memory,0,2,seed00_fold02,280,50,82,,,,,,0.1552690139443908,11.833854514517494,9.53288930436751,9.449219226837158,0.2112293839454651,0.8261923789978027,,1.0,,1.0,1.0,9.391350231490229
ncr,llm_fluid,working_memory,0,3,seed00_fold03,280,50,82,,,,,,0.2034324518731113,11.381012940041163,9.472437008083515,10.062104225158691,0.6810997128486633,0.0754851698875427,,0.1,,100.0,10.0,11.57135778166098
ncr,llm_fluid,working_memory,0,4,seed00_fold04,280,50,82,,,,,,0.3078657040218879,13.075490333195503,10.91210844766667,10.409268617630005,0.2053790390491485,0.863666296005249,,0.5,,1.0,0.5,11.405783268391335
ncr,random_control,working_memory,0,0,seed00_fold00,279,50,83,,,,,,0.1894563270283553,10.22337422336495,8.469804332613947,11.242350578308104,0.2452095746994018,2.3720617294311523,,0.0,,0.01,0.0,11.527368507176233
ncr,random_control,working_memory,0,1,seed00_fold01,279,50,83,,,,,,0.1781225375437822,11.586314609288674,9.235481166712272,10.549840211868286,0.2914152443408966,2.4030776023864746,,0.0,,0.01,0.0,9.441919613564073
ncr,random_control,working_memory,0,2,seed00_fold02,280,50,82,,,,,,0.1644393331898219,11.83543854673098,9.47963213874626,12.807676076889038,0.214523360133171,0.9317507743835448,,0.0,,1.0,0.0,9.402164173673889
ncr,random_control,working_memory,0,3,seed00_fold03,280,50,82,,,,,,0.2043248286260847,11.380085615744765,9.472004890101324,11.372497081756592,0.6791740655899048,0.0780454874038696,,0.0,,100.0,0.0,11.57169977332942
ncr,random_control,working_memory,0,4,seed00_fold04,280,50,82,,,,,,0.3092289061256013,13.061735491147038,10.913840716197752,9.424000263214111,0.2206023931503296,0.9149115085601808,,0.0,,1.0,0.0,11.410844925467584
ncr,no_prior,working_memory,0,0,seed00_fold00,279,50,83,,,,,,0.1894563270283568,10.223374223364942,8.469804332613938,5.096311092376709,0.2452095746994018,2.3720617294311523,,0.0,,0.01,0.0,11.527368507176304
ncr,no_prior,working_memory,0,1,seed00_fold01,279,50,83,,,,,,0.1781225375437813,11.586314609288674,9.23548116671228,5.314110040664673,0.2914152443408966,2.4030776023864746,,0.0,,0.01,0.0,9.44191961356402
