method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,1,4,seed01_fold04,280,50,82,16,0.5,0.001,26,4.541635990142822,16323,19.089275360107422,cuda,False,0.10038937175373175,4.745700419840695,3.976157200045702,0.824907255319703,0.7266663475314885,0.25
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,1,4,seed01_fold04,280,50,82,16,0.5,0.001,25,4.505218029022217,16323,18.227795362472534,cuda,False,0.1459918786435232,4.642284027471736,3.911538321797441,0.7609158629587299,0.7210979656262914,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,1,4,seed01_fold04,280,50,82,16,0.5,0.001,25,4.508013725280762,16323,20.011648416519165,cuda,False,0.13807962293715492,4.655749731687664,3.9072982974168733,0.6576047997676585,0.7976780840349056,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,2,0,seed02_fold00,279,50,83,32,0.5,0.003,10,4.7695207595825195,35203,16.34385585784912,cuda,False,0.39959622937962797,4.439585720306168,3.586410120309117,0.8440816748170026,0.7326342545958028,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,2,0,seed02_fold00,279,50,83,16,0.2,0.001,10,4.7689337730407715,16323,16.39158034324646,cuda,False,0.47367461036797287,4.6915489415126865,4.02845676835761,0.7783049166440211,0.7316004832465869,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,2,0,seed02_fold00,279,50,83,16,0.5,0.003,10,4.764026641845703,16323,16.484691858291626,cuda,False,0.4579664457150931,4.408857795086264,3.6432276001895767,0.6297486964704799,0.7862222734786454,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,2,1,seed02_fold01,279,50,83,32,0.2,0.003,13,4.251582622528076,35203,23.556668043136597,cuda,False,0.296797724231136,5.581007297009038,4.462482889014554,0.7765417135148018,0.7071645257020762,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,2,1,seed02_fold01,279,50,83,32,0.2,0.003,13,4.204277515411377,35203,22.945038080215454,cuda,False,0.3072324626811284,5.113752563190704,4.192219872072519,0.7133996586528595,0.7126430144464719,0.17647058823529413
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,2,1,seed02_fold01,279,50,83,32,0.2,0.003,13,4.26384973526001,35203,23.301091194152832,cuda,False,0.35784351344433557,4.9618397154605365,4.165461678102792,0.5942620314350782,0.7731749509860455,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,2,2,seed02_fold02,280,50,82,16,0.2,0.003,26,4.221792697906494,16323,23.747620820999146,cuda,False,0.19964398027351343,5.613148753880469,4.834319335658376,0.7582823535291916,0.7001179007081452,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,2,2,seed02_fold02,280,50,82,16,0.2,0.003,27,4.1565656661987305,16323,23.490034818649292,cuda,False,0.2144160406071517,5.606561323524275,4.7771130538568265,0.736883941006763,0.7134870113451072,0.17647058823529413
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,2,2,seed02_fold02,280,50,82,16,0.2,0.003,28,4.139821529388428,16323,25.21346926689148,cuda,False,0.22307400710579892,5.47716753342807,4.615364737626983,0.5839852194691003,0.7188867104909085,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,2,3,seed02_fold03,280,50,82,16,0.5,0.001,10,4.71943473815918,16323,15.878170728683472,cuda,False,0.18614384218185842,4.645648865659583,3.9812060100276296,0.8386855848547463,0.7308413854442641,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,2,3,seed02_fold03,280,50,82,16,0.5,0.001,10,4.730203151702881,16323,15.979593753814697,cuda,False,0.16180522610195872,4.667691588850778,4.006156049123624,0.7822271277254462,0.7282644481679578,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,2,3,seed02_fold03,280,50,82,16,0.5,0.001,10,4.717508792877197,16323,15.71137809753418,cuda,False,0.1673864094977299,4.666032289201545,4.002020998698909,0.6880385389652206,0.8074578095567602,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,2,4,seed02_fold04,280,50,82,16,0.5,0.001,13,5.06895637512207,16323,19.362840175628662,cuda,False,0.11127824089478772,4.7631681593348585,3.8854746120732004,0.7826861904230478,0.7123883171575346,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,2,4,seed02_fold04,280,50,82,32,0.2,0.001,28,4.86918306350708,35203,21.398210763931274,cuda,False,0.3897553365800458,4.50924541068518,3.8178022896371235,0.7430006139001943,0.7220518319436839,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,2,4,seed02_fold04,280,50,82,32,0.2,0.001,29,4.941912651062012,35203,21.377055883407593,cuda,False,0.39770899874678506,4.529281373256057,3.8041716436060464,0.62812902334645,0.7820551262830124,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,3,0,seed03_fold00,279,50,83,16,0.2,0.003,12,4.673976421356201,16323,16.241963386535645,cuda,False,0.36991899479365065,4.704590059694714,4.008655410215079,0.8346361316961672,0.7267212822408672,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,3,0,seed03_fold00,279,50,83,16,0.2,0.003,12,4.654127597808838,16323,16.514151096343994,cuda,False,0.3566261947624281,4.698338632018882,4.0055169484701505,0.7517591518328985,0.7198993901489396,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,3,0,seed03_fold00,279,50,83,16,0.2,0.003,12,4.657074928283691,16323,16.280558347702026,cuda,False,0.3690323915964212,4.677433530910551,3.9265373069119742,0.6407916303857292,0.7949179256525584,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,3,1,seed03_fold01,279,50,83,32,0.2,0.003,10,4.295475482940674,35203,18.46545672416687,cuda,False,0.2067495391312122,4.845202913571066,4.126215819852898,0.8088476550554367,0.7191852389270175,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,3,1,seed03_fold01,279,50,83,32,0.2,0.003,10,4.3272294998168945,35203,18.653326988220215,cuda,False,0.14973663923455321,5.147370191322787,4.440656432186264,0.7640952795095546,0.7264166443070402,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,3,1,seed03_fold01,279,50,83,32,0.2,0.003,10,4.247492790222168,35203,20.52091693878174,cuda,False,0.23695561069080323,4.802504034850429,4.100804972361369,0.6527105086137627,0.7973321031791796,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,3,2,seed03_fold02,280,50,82,16,0.5,0.001,11,4.76762580871582,16323,17.50807762145996,cuda,False,0.22409964379676858,4.962797012553237,4.071806535488221,0.7478030939500981,0.6925718692653174,0.1111111111111111
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,3,2,seed03_fold02,280,50,82,16,0.5,0.001,32,4.683313369750977,16323,21.59732675552368,cuda,False,0.3645568006411749,4.651005063362705,3.852015181285579,0.7197911576018202,0.7110848663259145,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,3,2,seed03_fold02,280,50,82,16,0.5,0.003,29,4.756771564483643,16323,18.203078031539917,cuda,False,0.4113565737850449,4.669950843280404,3.661076859730046,0.5869130271343517,0.7226540575865914,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,3,3,seed03_fold03,280,50,82,16,0.5,0.003,14,4.808603286743164,16323,16.896336793899536,cuda,False,0.42435021024242636,4.6857091389474155,3.799138673921911,0.8046232950743224,0.7149752425628191,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,3,3,seed03_fold03,280,50,82,16,0.5,0.003,13,4.8687334060668945,16323,17.09942054748535,cuda,False,0.4657918476530626,4.6251926896588405,3.685250026423757,0.7398375477124668,0.7192701380233297,0.17647058823529413
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,3,3,seed03_fold03,280,50,82,16,0.5,0.003,12,4.879602909088135,16323,18.10965633392334,cuda,False,0.4331546888427035,4.715357877377279,3.7748742219878406,0.6437872892644397,0.7984776842348057,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,3,4,seed03_fold04,280,50,82,32,0.5,0.003,10,4.658502101898193,35203,18.391083002090454,cuda,False,0.34502428648979644,4.263552991187321,3.6320093666634907,0.8426596850103547,0.732029972792638,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,3,4,seed03_fold04,280,50,82,32,0.2,0.001,19,4.661428451538086,35203,20.14765238761902,cuda,False,0.35014875821339153,4.266884278179556,3.646464568812673,0.7765802706429551,0.7289236646805011,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,3,4,seed03_fold04,280,50,82,32,0.5,0.001,15,4.681464195251465,35203,19.99521040916443,cuda,False,0.29375200144329616,4.348708503893554,3.7413430795436953,0.6852664570638412,0.8059201168646446,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,4,0,seed04_fold00,279,50,83,16,0.2,0.001,15,4.65103006362915,16323,17.611143827438354,cuda,False,0.18044549280565686,4.873960861761431,4.225554316876883,0.7584463818063641,0.7031443037884585,0.1111111111111111
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,4,0,seed04_fold00,279,50,83,32,0.5,0.003,30,4.602253437042236,35203,21.538875818252563,cuda,False,0.14195327235270458,5.621572510456455,4.542955467499882,0.7238879744981275,0.7099012730420295,0.25
