model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_fluid,fluid_intelligence,6,4,seed06_fold04,280,50,82,32.0,0.5,0.003,10.0,213123.0,0.43609565254602445,5.404967936757465,4.517946254916307,123.59104919433594,2.450472116470337,0.3317708373069763,,0.5011548101902008,,,
llm_gated,llm_fluid,fluid_intelligence,7,0,seed07_fold00,279,50,83,32.0,0.5,0.001,21.0,213123.0,0.3734655862320994,4.700524161645245,3.7384557609098503,118.10169553756714,2.579174280166626,0.4801119565963745,,0.5009336769580841,,,
llm_gated,llm_fluid,fluid_intelligence,7,1,seed07_fold01,279,50,83,16.0,0.2,0.001,12.0,61507.0,0.30697690571640046,4.879197117243993,4.091884337275861,103.9215738773346,1.8997631072998047,0.35540035367012024,,0.49843844771385193,,,
llm_gated,llm_fluid,fluid_intelligence,7,2,seed07_fold02,280,50,82,32.0,0.2,0.001,10.0,213123.0,0.27962306434252493,4.663466133898821,3.9249213497813153,101.28177523612976,2.5866379737854004,0.4190373718738556,,0.5013162791728973,,,
llm_gated,llm_fluid,fluid_intelligence,7,3,seed07_fold03,280,50,82,16.0,0.5,0.001,10.0,61507.0,0.31452372014704844,4.977535227659309,4.148618011939816,76.61630082130432,2.1492762565612793,0.3460419774055481,,0.5009793937206268,,,
llm_gated,llm_fluid,fluid_intelligence,7,4,seed07_fold04,280,50,82,16.0,0.5,0.001,17.0,61507.0,0.19637571010731053,5.147759235945057,4.2498109398818595,102.15973234176636,2.0464868545532227,0.41414108872413635,,0.4997367560863495,,,
llm_gated,llm_fluid,fluid_intelligence,8,0,seed08_fold00,279,50,83,32.0,0.2,0.003,10.0,213123.0,0.24888655139808324,4.819054073599338,4.165478453578719,90.18648171424866,2.0864615440368652,0.22597768902778625,,0.5002817511558533,,,
llm_gated,llm_fluid,fluid_intelligence,8,1,seed08_fold01,279,50,83,16.0,0.5,0.001,15.0,61507.0,0.28904763826913316,4.922121516694575,4.0585109526852525,101.06586170196533,2.906550168991089,0.40818262100219727,,0.5008260756731033,,,
llm_gated,llm_fluid,fluid_intelligence,8,2,seed08_fold02,280,50,82,32.0,0.2,0.003,23.0,213123.0,0.1481074250182127,5.574134172331239,4.549859407471447,123.74920177459717,1.8150941133499146,0.552868127822876,,0.5032515227794647,,,
llm_gated,llm_fluid,fluid_intelligence,8,3,seed08_fold03,280,50,82,16.0,0.2,0.001,10.0,61507.0,0.10685227519066479,4.657393352382286,3.921896608864389,105.18819665908813,2.0729546546936035,0.4266592562198639,,0.4989388734102249,,,
