target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
fluid_intelligence,7,0,matched,pca_32,1000000.0,0.0,0.3060197298382481
fluid_intelligence,7,0,unrelated,pca_32,100.0,0.0,0.3030911437885601
fluid_intelligence,7,0,shuffled,pca_64,10000.0,0.0,0.29785776148630533
fluid_intelligence,7,0,random,weighted_2.0,1000000.0,0.25,0.29735980386113897
fluid_intelligence,7,1,matched,weighted_0.5,1000000.0,0.0,0.19047462684154537
fluid_intelligence,7,1,unrelated,topk_0.05,1000000.0,0.0,0.1885429058658667
fluid_intelligence,7,1,shuffled,pca_8,1000000.0,0.25,0.19277606476545214
fluid_intelligence,7,1,random,topk_0.05,1000000.0,0.0,0.1885429058658667
fluid_intelligence,7,2,matched,pca_16,1000000.0,0.0,0.18983331304212947
fluid_intelligence,7,2,unrelated,pca_64,1000000.0,0.0,0.18653622479021129
fluid_intelligence,7,2,shuffled,weighted_1.0,1000000.0,0.0,0.18611723936287042
fluid_intelligence,7,2,random,topk_0.05,1000000.0,0.0,0.18604625888119655
fluid_intelligence,7,3,matched,topk_0.05,1000000.0,0.0,0.3124694373277416
fluid_intelligence,7,3,unrelated,topk_0.05,1000000.0,0.0,0.3124694373277416
fluid_intelligence,7,3,shuffled,topk_0.05,1000000.0,0.0,0.3124694373277416
fluid_intelligence,7,3,random,topk_0.05,1000000.0,0.0,0.3124694373277416
fluid_intelligence,7,4,matched,topk_0.05,1000000.0,0.0,0.3386050291068979
fluid_intelligence,7,4,unrelated,topk_0.05,1000000.0,0.0,0.3386050291068979
fluid_intelligence,7,4,shuffled,topk_0.05,1000000.0,0.0,0.3386050291068979
fluid_intelligence,7,4,random,topk_0.05,1000000.0,0.0,0.3386050291068979
fluid_intelligence,8,0,matched,pca_8,1000000.0,0.0,0.3501325671251708
fluid_intelligence,8,0,unrelated,topk_0.05,1000000.0,0.0,0.34920837107840763
fluid_intelligence,8,0,shuffled,topk_0.05,1000000.0,0.0,0.34920837107840763
fluid_intelligence,8,0,random,topk_0.05,1000000.0,0.0,0.34920837107840763
fluid_intelligence,8,1,matched,pca_32,100.0,0.0,0.3614128036363174
fluid_intelligence,8,1,unrelated,topk_0.05,10000.0,0.0,0.36025958851343454
fluid_intelligence,8,1,shuffled,topk_0.05,1000000.0,0.0,0.36025958851343454
