target,seed,fold,prior_type,selected_variant,selected_eta,selected_alpha,inner_pearson,inner_rmse,inner_mae
fluid_intelligence,9,2,matched,topk_0.05,0.0,1000000.0,0.25758623193311847,0.0,0.0
fluid_intelligence,9,2,unrelated,pca_32,0.0,1000000.0,0.2626659509716874,0.0,0.0
fluid_intelligence,9,2,shuffled,topk_0.05,0.0,1000000.0,0.25758623193311847,0.0,0.0
fluid_intelligence,9,2,random,topk_0.05,0.0,1000000.0,0.25758623193311847,0.0,0.0
fluid_intelligence,9,3,matched,topk_0.05,0.0,1000000.0,0.26060935553952774,0.0,0.0
fluid_intelligence,9,3,unrelated,topk_0.05,0.0,1000000.0,0.26060935553952774,0.0,0.0
fluid_intelligence,9,3,shuffled,topk_0.05,0.0,1000000.0,0.26060935553952774,0.0,0.0
fluid_intelligence,9,3,random,topk_0.05,0.0,1000000.0,0.26060935553952774,0.0,0.0
fluid_intelligence,9,4,matched,pca_64,0.75,100.0,0.3104202166340885,0.0,0.0
fluid_intelligence,9,4,unrelated,pca_16,0.0,10000.0,0.3114023116442218,0.0,0.0
fluid_intelligence,9,4,shuffled,topk_0.05,0.0,1000000.0,0.30499007766184444,0.0,0.0
fluid_intelligence,9,4,random,topk_0.05,0.0,1000000.0,0.30499007766184444,0.0,0.0
working_memory,0,0,matched,topk_0.05,0.0,1000000.0,0.21323805112263694,0.0,0.0
working_memory,0,0,unrelated,topk_0.05,0.0,1000000.0,0.21323805112263694,0.0,0.0
working_memory,0,0,shuffled,topk_0.05,0.0,1000000.0,0.21323805112263694,0.0,0.0
working_memory,0,0,random,topk_0.05,0.0,1000000.0,0.21323805112263694,0.0,0.0
working_memory,0,1,matched,topk_0.05,0.0,1000000.0,0.09355360174546301,0.0,0.0
working_memory,0,1,unrelated,pca_64,0.0,1000000.0,0.09861403503705828,0.0,0.0
working_memory,0,1,shuffled,pca_8,0.0,0.01,0.10336722063467133,0.0,0.0
working_memory,0,1,random,topk_0.05,0.0,1000000.0,0.09355360174546301,0.0,0.0
working_memory,0,2,matched,topk_0.05,0.0,1000000.0,0.23482855209242331,0.0,0.0
working_memory,0,2,unrelated,topk_0.05,0.0,1000000.0,0.23482855209242331,0.0,0.0
working_memory,0,2,shuffled,pca_8,0.5,0.01,0.2455585710959246,0.0,0.0
working_memory,0,2,random,topk_0.05,0.0,1000000.0,0.23482855209242331,0.0,0.0
working_memory,0,3,matched,topk_0.05,0.0,1000000.0,0.18282108243900005,0.0,0.0
working_memory,0,3,unrelated,topk_0.05,0.0,10000.0,0.18282108243900005,0.0,0.0
working_memory,0,3,shuffled,topk_0.05,0.0,1000000.0,0.18282108243900005,0.0,0.0
working_memory,0,3,random,topk_0.05,0.0,1000000.0,0.18282108243900005,0.0,0.0
working_memory,0,4,matched,topk_0.05,0.0,10000.0,0.1546126670146443,0.0,0.0
working_memory,0,4,unrelated,weighted_1.0,0.0,10000.0,0.1714422691746471,0.0,0.0
working_memory,0,4,shuffled,topk_0.05,0.0,10000.0,0.1546126670146443,0.0,0.0
working_memory,0,4,random,pca_32,1.0,100.0,0.16768538422534746,0.0,0.0
working_memory,1,0,matched,topk_0.2,0.0,1000000.0,0.1099490060150686,0.0,0.0
working_memory,1,0,unrelated,topk_0.05,0.0,1000000.0,0.10622729751232901,0.0,0.0
working_memory,1,0,shuffled,pca_32,0.0,1000000.0,0.12246999312456669,0.0,0.0
working_memory,1,0,random,topk_0.05,0.0,10000.0,0.10622729751232901,0.0,0.0
working_memory,1,1,matched,topk_0.05,0.0,1000000.0,0.2823708510245489,0.0,0.0
working_memory,1,1,unrelated,topk_0.05,0.0,1000000.0,0.2823708510245489,0.0,0.0
working_memory,1,1,shuffled,topk_0.05,0.0,1000000.0,0.2823708510245489,0.0,0.0
working_memory,1,1,random,topk_0.05,0.0,1000000.0,0.2823708510245489,0.0,0.0
working_memory,1,2,matched,topk_0.05,0.0,1000000.0,0.2443964297773934,0.0,0.0
working_memory,1,2,unrelated,topk_0.05,0.0,1000000.0,0.2443964297773934,0.0,0.0
working_memory,1,2,shuffled,topk_0.05,0.0,1000000.0,0.2443964297773934,0.0,0.0
working_memory,1,2,random,topk_0.05,0.0,1000000.0,0.2443964297773934,0.0,0.0
working_memory,1,3,matched,topk_0.05,0.0,1000000.0,0.1435988426942569,0.0,0.0
working_memory,1,3,unrelated,pca_64,0.0,1000000.0,0.14365946003430416,0.0,0.0
working_memory,1,3,shuffled,topk_0.05,0.0,1000000.0,0.1435988426942569,0.0,0.0
working_memory,1,3,random,topk_0.05,0.0,1000000.0,0.1435988426942569,0.0,0.0
working_memory,1,4,matched,topk_0.2,0.0,10000.0,0.1365459618596813,0.0,0.0
working_memory,1,4,unrelated,topk_0.05,0.0,1000000.0,0.13596817420330715,0.0,0.0
working_memory,1,4,shuffled,topk_0.05,0.0,1000000.0,0.13596817420330715,0.0,0.0
working_memory,1,4,random,topk_0.05,0.0,100.0,0.13596817420330715,0.0,0.0
working_memory,2,0,matched,topk_0.05,0.0,1000000.0,0.15802552832231598,0.0,0.0
working_memory,2,0,unrelated,pca_64,0.0,10000.0,0.15858944126194163,0.0,0.0
working_memory,2,0,shuffled,topk_0.05,0.0,1000000.0,0.15802552832231598,0.0,0.0
working_memory,2,0,random,topk_0.05,0.0,1000000.0,0.15802552832231598,0.0,0.0
working_memory,2,1,matched,topk_0.05,0.0,1000000.0,0.09464791664048838,0.0,0.0
working_memory,2,1,unrelated,topk_0.05,1.0,1000000.0,0.09464791664048838,0.0,0.0
working_memory,2,1,shuffled,topk_0.05,0.0,1000000.0,0.09464791664048838,0.0,0.0
working_memory,2,1,random,pca_64,0.0,1000000.0,0.09788327401582703,0.0,0.0
working_memory,2,2,matched,topk_0.05,0.0,1000000.0,0.1884256767581566,0.0,0.0
working_memory,2,2,unrelated,topk_0.05,0.0,10000.0,0.1884256767581566,0.0,0.0
working_memory,2,2,shuffled,topk_0.05,0.0,1000000.0,0.1884256767581566,0.0,0.0
working_memory,2,2,random,topk_0.05,0.0,1000000.0,0.1884256767581566,0.0,0.0
working_memory,2,3,matched,topk_0.05,0.0,1000000.0,0.12853588971734076,0.0,0.0
working_memory,2,3,unrelated,topk_0.05,0.0,1000000.0,0.12853588971734076,0.0,0.0
working_memory,2,3,shuffled,pca_32,0.0,1000000.0,0.13227591254860332,0.0,0.0
working_memory,2,3,random,topk_0.05,0.0,1000000.0,0.12853588971734076,0.0,0.0
working_memory,2,4,matched,weighted_2.0,0.75,1000000.0,0.14942499157818567,0.0,0.0
working_memory,2,4,unrelated,pca_16,0.0,10000.0,0.15273874430467335,0.0,0.0
working_memory,2,4,shuffled,pca_8,1.0,1.0,0.15413999839798237,0.0,0.0
working_memory,2,4,random,topk_0.05,0.0,10000.0,0.1466397389438868,0.0,0.0
working_memory,3,0,matched,topk_0.05,0.0,1000000.0,0.1607202849251425,0.0,0.0
working_memory,3,0,unrelated,topk_0.2,0.0,1000000.0,0.16077432516618947,0.0,0.0
working_memory,3,0,shuffled,topk_0.05,0.0,1000000.0,0.1607202849251425,0.0,0.0
working_memory,3,0,random,topk_0.05,0.0,1000000.0,0.1607202849251425,0.0,0.0
working_memory,3,1,matched,topk_0.05,1.0,1000000.0,0.10117955117258952,0.0,0.0
working_memory,3,1,unrelated,topk_0.1,1.0,1000000.0,0.10042777335554853,0.0,0.0
working_memory,3,1,shuffled,pca_8,1.0,1000000.0,0.09895541909033695,0.0,0.0
working_memory,3,1,random,topk_0.05,0.0,1000000.0,0.0983388839607926,0.0,0.0
working_memory,3,2,matched,topk_0.05,0.0,1000000.0,0.31152797752375044,0.0,0.0
working_memory,3,2,unrelated,topk_0.05,0.0,1000000.0,0.31152797752375044,0.0,0.0
working_memory,3,2,shuffled,topk_0.05,0.0,1000000.0,0.31152797752375044,0.0,0.0
working_memory,3,2,random,topk_0.05,0.0,1000000.0,0.31152797752375044,0.0,0.0
working_memory,3,3,matched,topk_0.05,0.0,1000000.0,0.10917960001555932,0.0,0.0
working_memory,3,3,unrelated,pca_32,0.0,10000.0,0.12412488058444217,0.0,0.0
working_memory,3,3,shuffled,topk_0.05,0.0,1000000.0,0.10917960001555932,0.0,0.0
working_memory,3,3,random,topk_0.05,0.0,1000000.0,0.10917960001555932,0.0,0.0
working_memory,3,4,matched,topk_0.05,0.0,1000000.0,0.21351094083640337,0.0,0.0
working_memory,3,4,unrelated,topk_0.05,0.0,1000000.0,0.21351094083640337,0.0,0.0
working_memory,3,4,shuffled,topk_0.05,0.0,1000000.0,0.21351094083640337,0.0,0.0
working_memory,3,4,random,topk_0.05,0.0,1000000.0,0.21351094083640337,0.0,0.0
working_memory,4,0,matched,weighted_1.0,1.0,1000000.0,0.20030791182961796,0.0,0.0
