target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,shuffled,mean,0,1,0.3,4002,0.030678955184192305,0.03247217576895402,0.0004300845824412592,0.9447767036763771,-4.1694602828657095,1.0
fluid_intelligence,shuffled,max,0,1,0.05,667,0.030856913015067024,0.03252066831391153,0.0010940356923827559,0.9488400643312489,-1.52075047498764,0.934
fluid_intelligence,shuffled,max,0,1,0.1,1334,0.031005055887009764,0.03241441257681683,0.0007600865048767471,0.9565206777550844,-1.8542056473369422,0.964
fluid_intelligence,shuffled,max,0,1,0.2,2668,0.031001417782999696,0.03244187719523157,0.0005165194379093824,0.9555987650294294,-2.78878064698232,0.995
fluid_intelligence,shuffled,max,0,1,0.3,4002,0.0312022244416815,0.03247217576895402,0.0004300845824412592,0.9608910922289756,-2.952794355156793,0.999
fluid_intelligence,shuffled,bridge,0,1,0.05,667,0.031560681608209004,0.03252066831391153,0.0010940356923827559,0.9704807202473182,-0.877472931081182,0.796
fluid_intelligence,shuffled,bridge,0,1,0.1,1334,0.03172588230535943,0.03241441257681683,0.0007600865048767471,0.9787585146013152,-0.9058577767658795,0.822
fluid_intelligence,shuffled,bridge,0,1,0.2,2668,0.0315654301986645,0.03244187719523157,0.0005165194379093824,0.9729840850055406,-1.696832553126163,0.964
fluid_intelligence,shuffled,bridge,0,1,0.3,4002,0.03150612506107093,0.03247217576895402,0.0004300845824412592,0.9702498928696146,-2.2461877205631553,0.985
fluid_intelligence,random,prod,0,1,0.05,667,0.031783929944321374,0.03252066831391153,0.0010940356923827559,0.9773455341545056,-0.6734134678783449,0.732
fluid_intelligence,random,prod,0,1,0.1,1334,0.03199074355718978,0.03241441257681683,0.0007600865048767471,0.9869296098264,-0.5573957923325388,0.707
fluid_intelligence,random,prod,0,1,0.2,2668,0.031922709005674246,0.03244187719523157,0.0005165194379093824,0.9839969744527104,-1.0051280773839995,0.858
fluid_intelligence,random,prod,0,1,0.3,4002,0.03194923962216544,0.03247217576895402,0.0004300845824412592,0.9838958697898973,-1.2158914040123687,0.893
fluid_intelligence,random,mean,0,1,0.05,667,0.0318771938218601,0.03252066831391153,0.0010940356923827559,0.980213368131301,-0.5881659040300382,0.713
fluid_intelligence,random,mean,0,1,0.1,1334,0.03194231572383447,0.03241441257681683,0.0007600865048767471,0.9854355882012804,-0.6211093736743953,0.736
fluid_intelligence,random,mean,0,1,0.2,2668,0.031939982746915785,0.03244187719523157,0.0005165194379093824,0.9845294264171139,-0.9716855000601834,0.847
fluid_intelligence,random,mean,0,1,0.3,4002,0.03191327746185163,0.03247217576895402,0.0004300845824412592,0.9827883936364764,-1.2995078873321888,0.904
fluid_intelligence,random,max,0,1,0.05,667,0.029967264941974284,0.03252066831391153,0.0010940356923827559,0.9214836747114152,-2.333930592681177,0.994
fluid_intelligence,random,max,0,1,0.1,1334,0.03151479373988121,0.03241441257681683,0.0007600865048767471,0.9722463322510113,-1.1835742789322314,0.885
fluid_intelligence,random,max,0,1,0.2,2668,0.033571749184194324,0.03244187719523157,0.0005165194379093824,1.0348275773982902,2.1874723505777918,0.015
fluid_intelligence,random,max,0,1,0.3,4002,0.032496905838541576,0.03247217576895402,0.0004300845824412592,1.000761577227332,0.057500479201521126,0.481
fluid_intelligence,random,bridge,0,1,0.05,667,0.034439640167901894,0.03252066831391153,0.0010940356923827559,1.0590077619397962,1.7540303916510591,0.035
fluid_intelligence,random,bridge,0,1,0.1,1334,0.0333309912911042,0.03241441257681683,0.0007600865048767471,1.028276888008235,1.205887367301703,0.114
fluid_intelligence,random,bridge,0,1,0.2,2668,0.032915243856301964,0.03244187719523157,0.0005165194379093824,1.0145912228882974,0.9164546894621276,0.184
fluid_intelligence,random,bridge,0,1,0.3,4002,0.03246711069915677,0.03247217576895402,0.0004300845824412592,0.9998440181577826,-0.011776915527869778,0.504
fluid_intelligence,matched,prod,0,2,0.05,667,0.03305630788839198,0.030902632242545913,0.0010595220887096015,1.0696923041682171,2.0326859333995007,0.022
fluid_intelligence,matched,prod,0,2,0.1,1334,0.031715755947459914,0.030908441947285967,0.0007160343373044071,1.0261195307596163,1.127479449118562,0.138
fluid_intelligence,matched,prod,0,2,0.2,2668,0.030983125076332,0.03090453361660023,0.0004981427853965027,1.0025430398240844,0.15776894102604253,0.439
fluid_intelligence,matched,prod,0,2,0.3,4002,0.030736236881210785,0.030883260079265135,0.00038083487324270355,0.9952393886630816,-0.38605497653743853,0.649
fluid_intelligence,matched,mean,0,2,0.05,667,0.03321411207131138,0.030902632242545913,0.0010595220887096015,1.0747988006530744,2.181624954681813,0.015
fluid_intelligence,matched,mean,0,2,0.1,1334,0.03169746399194961,0.030908441947285967,0.0007160343373044071,1.0255277197734298,1.1019332503438377,0.144
fluid_intelligence,matched,mean,0,2,0.2,2668,0.030660925985532272,0.03090453361660023,0.0004981427853965027,0.9921174144191872,-0.4890317358988864,0.7
fluid_intelligence,matched,mean,0,2,0.3,4002,0.031016851521022463,0.030883260079265135,0.00038083487324270355,1.0043256910512184,0.3507857371879664,0.355
fluid_intelligence,matched,max,0,2,0.05,667,0.03260368029622356,0.030902632242545913,0.0010595220887096015,1.055045409734893,1.6054861638131266,0.053
fluid_intelligence,matched,max,0,2,0.1,1334,0.031570407453219755,0.030908441947285967,0.0007160343373044071,1.0214169807414675,0.9244884937024571,0.186
fluid_intelligence,matched,max,0,2,0.2,2668,0.030987481209525252,0.03090453361660023,0.0004981427853965027,1.0026839943276304,0.1665136891604248,0.431
fluid_intelligence,matched,max,0,2,0.3,4002,0.03067060942466884,0.030883260079265135,0.00038083487324270355,0.9931143715381567,-0.5583802050102032,0.713
fluid_intelligence,matched,bridge,0,2,0.05,667,0.032390964471095206,0.030902632242545913,0.0010595220887096015,1.0481619888191982,1.4047203398675165,0.082
fluid_intelligence,matched,bridge,0,2,0.1,1334,0.031035829608987868,0.030908441947285967,0.0007160343373044071,1.004121452058928,0.17790719671554667,0.433
fluid_intelligence,matched,bridge,0,2,0.2,2668,0.030579175523097416,0.03090453361660023,0.0004981427853965027,0.9894721564952512,-0.6531422376093267,0.742
