target,seed,fold,prior_type,variant,inner_pearson,selected_eta
fluid_intelligence,0,4,shuffled,pca_8,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,pca_16,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,pca_32,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,pca_64,0.25409713387356503,0.0
fluid_intelligence,0,4,random,topk_0.05,0.25409713387356503,0.0
fluid_intelligence,0,4,random,topk_0.1,0.25409713387356503,0.0
fluid_intelligence,0,4,random,topk_0.2,0.25409713387356503,0.0
fluid_intelligence,0,4,random,weighted_0.5,0.25409713387356503,0.0
fluid_intelligence,0,4,random,weighted_1.0,0.25409713387356503,0.0
fluid_intelligence,0,4,random,weighted_2.0,0.25409713387356503,0.0
fluid_intelligence,0,4,random,pca_8,0.25409713387356503,0.0
fluid_intelligence,0,4,random,pca_16,0.25409713387356503,0.0
fluid_intelligence,0,4,random,pca_32,0.275144389424576,0.75
fluid_intelligence,0,4,random,pca_64,0.2640048919522606,0.25
fluid_intelligence,1,0,matched,topk_0.05,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,topk_0.1,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,topk_0.2,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,weighted_0.5,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,weighted_1.0,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,weighted_2.0,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,pca_8,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,pca_16,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,pca_32,0.35371462374025237,0.0
fluid_intelligence,1,0,matched,pca_64,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,topk_0.05,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,topk_0.1,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,topk_0.2,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,weighted_0.5,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,weighted_1.0,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,weighted_2.0,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,pca_8,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,pca_16,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,pca_32,0.35371462374025237,0.0
fluid_intelligence,1,0,unrelated,pca_64,0.35371462374025237,0.0
fluid_intelligence,1,0,shuffled,topk_0.05,0.35371462374025237,0.0
fluid_intelligence,1,0,shuffled,topk_0.1,0.35371462374025237,0.0
fluid_intelligence,1,0,shuffled,topk_0.2,0.35371462374025237,0.0
fluid_intelligence,1,0,shuffled,weighted_0.5,0.35371462374025237,0.0
