method_id,seed,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random,delta_pearson_top,delta_pearson_bottom,delta_pearson_prior_true_top,delta_pearson_prior_random_top,delta_pearson_random,delta_rmse_top,delta_rmse_bottom,delta_rmse_prior_true_top,delta_rmse_prior_random_top,delta_rmse_random,delta_mae_top,delta_mae_bottom,delta_mae_prior_true_top,delta_mae_prior_random_top,delta_mae_random
M2_TRUE,0,0.02248078696796418,0.005342505427595422,0.049185545946692756,0.0661995125596055,0.30488770478188487,-1.7068355732674476,1.7603651855040467,1.7540183728641856,0.08657344470611189,-2.0914087041630105,1.2184256511949418,1.2805622900089304,0.025334069234203522,0.01999156380660812,0.05203882821293214,-0.01416068434667334,0.00285328226623936,1.3645356245100924,3.0713711977775398,2.8200131052322543,1.0659947323680687,1.0596479197282076,0.9262227079709279,3.0176314121339383,2.0580749144597577,0.7775126244508271,0.839649263264816
M2_TRUE,1,-0.017321360050380756,-0.0288108032141714,0.05218291854415512,0.037900269833369075,0.18704509061656532,0.09827459418134081,1.5581705660522265,2.12363980345396,0.15894810454200153,-0.4458899224466556,1.2638098903028816,1.8382175499363715,-0.0018066114880549405,0.02700419172611642,0.06769766710648094,0.02979739727311188,0.015514748562325802,1.3313071679125819,1.2330325737312413,2.702432643348243,0.578792839894283,1.1442620772960166,0.8143292454527016,1.260219167899357,1.9191910312135818,0.08097348127721013,0.6553811409107
M2_TRUE,2,0.023121925364622577,0.01531483648880844,0.04678634393405298,0.08719113465282427,0.12204872466951237,-0.3707300968151127,1.0212853495321697,0.8916940832305453,-0.17354851586518144,-0.6369079214875717,0.7593339666786385,0.6138688217777383,0.05386090039288628,0.03854606390407784,0.07752531896231665,-0.0096658156905076,0.03073897502826368,1.6541027575811067,2.0248328543962195,2.553339382443764,1.661645299213219,1.5320540329115944,1.134241081510191,1.7711490029977626,2.067123564054011,1.453254742276273,1.3077895973753726
M2_TRUE,3,-0.022572571957398337,-0.05861774652368194,0.021503411811092398,0.02519677431645736,-0.7074211659202316,-2.926059813379627,1.5032481753712583,2.073083228109644,-0.7680192819764045,-3.0090995935702933,1.011753610772944,1.4508520115132968,-0.0004025984216417592,0.05821514810204016,0.043673385346848996,0.01847661103039166,0.022169973535756622,0.4463004662397127,3.3723602796193406,2.6569698075312025,0.5838865794215584,1.1537216321599444,0.12842431700373264,3.1375239105740262,1.9081972097530808,0.45734519823978437,0.8964435989801371
M2_TRUE,4,0.015469678503295722,0.024185312950539876,0.03181476841652478,0.043331456068068167,1.7633716253519247,1.7457566027031954,1.6915272152990473,1.8528078263892922,1.6011216013129583,1.2226415617901054,1.355969757125758,1.5615308045290024,0.03499749280889149,0.01081217985835158,0.051342582722120514,0.00801112665405238,0.01952781430559572,2.435696811503624,0.6899402088004283,2.3638524014507465,0.5110445750614543,0.672325186151699,1.9527054257859493,0.730063863995844,1.707553581598749,0.1460227770697466,0.3515838244729908
M2_TRUE,5,-0.02633121317350578,-0.054926805214630114,-0.005068453082693802,0.010081186968471777,1.5998459330815218,0.498478807134893,2.2609870547235302,1.9040387116192274,1.4731260130092252,0.14860052304375754,1.9603354867079872,1.701244985164,0.004988184250275279,0.059914989464905435,0.026250944341087278,0.016169757372615463,0.03131939742378106,2.9031505560210507,2.404671748886158,3.5642916776630598,1.660252966043832,1.3033046229395289,2.4703251427003927,2.321724619656635,2.9575346163991547,1.2562896312351548,0.9971991296911675
M2_TRUE,6,-0.00875188122487098,0.02086625269918076,0.04723319740578226,0.007237163381862033,0.44544992521063403,-1.4477760438554736,1.6582329136353866,2.063943279785852,0.3576467212354159,-1.890763604889678,1.246703784310954,1.7435137528165314,0.043744924877274924,0.02287867217809412,0.0997300035079282,0.09249284012606611,0.05249680610214587,2.2004588660786393,3.648234909934113,3.4132418545033922,1.3492985747175401,1.7550089408680052,1.709038360028487,3.599801964918165,2.598095423104025,0.8545816702874941,1.351391638793071
M2_TRUE,7,0.00854493415267676,-0.007135087425358483,0.03741624921369844,0.051018688524879695,0.5252482535523754,-0.09871552320100534,1.6453663983185927,2.4264670864730986,0.3791502746637521,-0.4375680055822867,1.236376245145829,1.838421770897887,0.026163480181655818,0.03329856760701428,0.055034795242677535,0.0040161067177978006,0.01761854602897906,1.4094402836070343,1.5081558068080396,2.5295584283732517,0.10309134190015286,0.8841920300546589,0.9917658982681867,1.4293339038504738,1.8489918687502638,0.010570097852376881,0.6126156236044348
M2_TRUE,8,-0.011713987248290841,0.014707792084567739,0.05743722737418814,0.02357106074826322,-1.939467767113046,-3.2852439132330007,-0.8165748601296275,-0.7586191953316687,-2.059455484393902,-3.6915961903682217,-1.1685971310220677,-1.0557304214177123,0.01851563682322404,0.0038078447386562407,0.08766685144570309,0.06409579069743984,0.03022962407151488,0.5745807981331991,3.859824711366199,1.6974737051166173,2.4560929004482857,2.514048565246245,0.21262373429622636,3.904219924664448,1.1034820876680609,2.159212509085773,2.2720792186901284
M2_TRUE,9,0.02706958510248072,0.008675567018463498,-0.008834810124766482,0.03316728810270826,-0.4679484546550233,-0.5374101874532201,0.17672728481445804,0.38472022794443067,-0.6211669100546471,-1.0249745535703394,-0.2771522935964839,0.16551111906793156,0.0507927990696001,0.042117232051136586,0.014888403842352904,-0.01827888426035536,0.02372321396711934,1.3176157667202713,1.8550259541734913,1.962291506189753,1.5775712782453222,1.7855642213752945,0.8025474477437815,1.827522001314121,1.1465620642019445,0.9810509451340129,1.4237143577984284
