experiment_id,seed,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_module_pearson,reference_alignment_edge_diagonal_pearson,alignment_node_pearson,alignment_module_pearson,alignment_edge_diagonal_pearson
E9,0,0.11991105377674101,4.880101108551026,4.12199764251709,-0.0011611275374889597,-0.0932986356317997,-0.004165172576904336,,,0.330170202255249
E9,1,0.037829774990677814,5.053877353668213,4.235231876373291,-0.12179420962929725,-0.23184235394001007,-0.12174896895885465,,,0.28232032656669614
E9,2,0.19598972126841543,4.890937614440918,4.045849561691284,-0.043419966101646425,-0.16699784398078918,-0.043141907826066,,,0.3991043150424957
E9,3,0.19524056166410442,4.881075668334961,4.088655090332031,-0.10118955969810486,-0.19342546314001083,-0.10377053618431091,,,0.257790333032608
E9,4,0.16439298819750542,4.956723690032959,4.089883184432983,-0.10997748002409935,-0.2023665964603424,-0.11232537776231762,,,0.33148846626281736
E9,5,0.13599730022251602,4.992628002166748,4.144876432418823,-0.0019184485077857944,-0.09139849692583084,-0.0016975224018096814,,,0.32811900079250333
E9,6,0.11927446499466891,4.975981044769287,4.20684289932251,-0.23167459294199938,-0.3205883204936981,-0.2314215525984764,,,0.25838824659585946
E9,7,0.12550393193960188,4.86852331161499,4.115430307388306,-0.16870943754911424,-0.28281390517950056,-0.16981626413762568,,,0.24205182343721385
E9,8,0.14736556261777878,4.909863758087158,4.103340435028076,-0.10016129612922667,-0.2252843290567398,-0.10479259938001632,,,0.28249613642692567
E9,9,0.15799648314714426,4.997316646575928,4.166300201416016,0.058632385730743364,0.08410629034042356,0.05730836689472196,,,0.3264666363596916
