method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
mt_ncr_independent,working_memory,2,1,seed02_fold01,279.0,50.0,83.0,0.0,0.0,0.0,62.90684342384338,0.1490160235450345,11.032201130208636,8.791514177425633,
mt_ncr_independent,jaccard_top10pct,2,1,seed02_fold01,,,,,,,,,,,0.0810372771474878
mt_ncr_joint_l21,fluid_intelligence,2,1,seed02_fold01,279.0,50.0,83.0,10.0,0.0,0.0,177.94369220733645,0.1097411344958548,4.6951304700384044,4.103926861171287,
mt_ncr_joint_l21,working_memory,2,1,seed02_fold01,279.0,50.0,83.0,10.0,0.0,0.0,177.94369649887085,0.2876024138529604,10.733042122967932,8.570257992970305,
mt_ncr_joint_l21,jaccard_top10pct,2,1,seed02_fold01,,,,,,,,,,,0.2028854824165915
no_prior_ridge,fluid_intelligence,2,1,seed02_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.990285873413086,0.3010069787709818,4.621584247559405,4.018475221469581,
no_prior_ridge,working_memory,2,1,seed02_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.990297794342041,0.1490160235450325,11.032201130208636,8.791514177425633,
mt_ncr_independent,fluid_intelligence,2,2,seed02_fold02,280.0,50.0,82.0,0.0,0.0,0.0,58.17339563369751,0.3645295342049927,4.5334600989149605,3.643775801695812,
mt_ncr_independent,working_memory,2,2,seed02_fold02,280.0,50.0,82.0,0.0,0.0,0.0,58.17340064048767,0.1758477657078998,11.454277377163873,9.066803340696447,
mt_ncr_independent,jaccard_top10pct,2,2,seed02_fold02,,,,,,,,,,,0.1181894383906119
mt_ncr_joint_l21,fluid_intelligence,2,2,seed02_fold02,280.0,50.0,82.0,1.0,0.0,0.0,190.9714870452881,0.3992676182917227,4.322974920722057,3.5480285686172324,
mt_ncr_joint_l21,working_memory,2,2,seed02_fold02,280.0,50.0,82.0,1.0,0.0,0.0,190.97149896621704,0.1758484856113432,11.454275578011664,9.066799687757374,
mt_ncr_joint_l21,jaccard_top10pct,2,2,seed02_fold02,,,,,,,,,,,0.1996402877697841
