method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha,best_gamma,best_kernel,gate_mode,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,1,4,seed01_fold04,280,50,82,0.1,0.0001,rbf,product,4.597195681915088,331,0.6874997615814209,cuda,False,0.25821395516830936,4.571889400537954,3.8241864610147194,-0.386862223813241,-0.3751840887980606,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,1,4,seed01_fold04,280,50,82,0.01,1e-05,rbf,product,4.573027745890481,331,0.7834861278533936,cuda,False,0.18347797962213047,4.625356128514709,3.9550591812405322,-0.07024878549157329,-0.08573310508207953,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,2,0,seed02_fold00,279,50,83,0.1,0.001,rbf,product,4.712053629378763,330,0.8189020156860352,cuda,False,0.2879154134890234,4.6416040356647414,3.8248125525965624,0.3023564946598886,0.30514732840480124,0.17647058823529413
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,2,0,seed02_fold00,279,50,83,1.0,0.001,rbf,product,4.659745903136519,330,0.6787972450256348,cuda,False,0.4002104517453742,4.5151192674781955,3.7513030050441256,0.7335909283168118,0.6789180969524845,0.3333333333333333
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,2,0,seed02_fold00,279,50,83,1.0,0.0001,rbf,product,4.698683900244665,330,0.6782691478729248,cuda,False,0.44169023568296906,4.49080482024193,3.7181515875346896,-0.3351030847307207,-0.36034672320134253,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,2,0,seed02_fold00,279,50,83,1.0,0.001,rbf,product,4.621146028137897,330,0.6674466133117676,cuda,False,0.42531015345465684,4.470705623366558,3.687246019434896,-0.16288223088216713,-0.16721626128404896,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,2,1,seed02_fold01,279,50,83,0.01,1e-05,rbf,product,4.582808371964295,330,0.6715948581695557,cuda,False,0.3706616237610161,4.502720599196387,3.979436003456244,0.15551056645099057,0.2017701934832048,0.25
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,2,1,seed02_fold01,279,50,83,0.01,1e-05,rbf,product,4.651916097549234,330,0.6976742744445801,cuda,False,0.22684921206698053,4.7517131412101214,4.21061257249301,0.7575225142109212,0.6944646197066356,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,2,1,seed02_fold01,279,50,83,0.01,1e-05,rbf,product,4.462232827810763,330,0.8033542633056641,cuda,False,0.4311898466617875,4.3583911344492705,3.7844232027207303,-0.37702135451673685,-0.3564313766419932,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,2,1,seed02_fold01,279,50,83,0.01,0.0001,rbf,product,4.54953639524034,330,0.755047082901001,cuda,False,0.29693985903946796,4.776080079669141,4.078703270685599,0.025620657265101834,0.08196258639291018,0.0
