target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,random,mean,SC,0.004468939778065248,1,1
fluid_intelligence,random,max,FC,0.021228690488657102,1,1
fluid_intelligence,random,max,SC,0.01129469532118069,1,1
fluid_intelligence,random,bridge,FC,0.0037013481865535904,1,1
fluid_intelligence,random,bridge,SC,0.013270364887224556,1,1
fluid_intelligence,matched,prod,FC,0.06532782527829573,1,2
fluid_intelligence,matched,prod,SC,-0.0005173980163013323,1,2
fluid_intelligence,matched,mean,FC,0.05448453959063002,1,2
fluid_intelligence,matched,mean,SC,-0.0030963283903705334,1,2
fluid_intelligence,matched,max,FC,0.03426555533557391,1,2
fluid_intelligence,matched,max,SC,-0.004120634762092065,1,2
fluid_intelligence,matched,bridge,FC,0.008473755193049562,1,2
fluid_intelligence,matched,bridge,SC,-0.005138228790015887,1,2
fluid_intelligence,unrelated,prod,FC,0.09676593164995362,1,2
fluid_intelligence,unrelated,prod,SC,-0.02777753815228543,1,2
fluid_intelligence,unrelated,mean,FC,0.09187637966323484,1,2
fluid_intelligence,unrelated,mean,SC,-0.02045490661488707,1,2
fluid_intelligence,unrelated,max,FC,0.06957711903813402,1,2
fluid_intelligence,unrelated,max,SC,-0.0050310587146161715,1,2
fluid_intelligence,unrelated,bridge,FC,0.04397491604572788,1,2
fluid_intelligence,unrelated,bridge,SC,-0.0018822503834972273,1,2
fluid_intelligence,shuffled,prod,FC,-0.028113956705577935,1,2
fluid_intelligence,shuffled,prod,SC,-0.030967554185034225,1,2
fluid_intelligence,shuffled,mean,FC,-0.0418084394276904,1,2
fluid_intelligence,shuffled,mean,SC,-0.04618900533622382,1,2
fluid_intelligence,shuffled,max,FC,-0.03484970424053237,1,2
fluid_intelligence,shuffled,max,SC,-0.04637212023200485,1,2
fluid_intelligence,shuffled,bridge,FC,-0.03858740208788732,1,2
fluid_intelligence,shuffled,bridge,SC,-0.04276470629243048,1,2
fluid_intelligence,random,prod,FC,0.005422095543356647,1,2
fluid_intelligence,random,prod,SC,-0.01498216951523313,1,2
fluid_intelligence,random,mean,FC,0.0029514169593806584,1,2
fluid_intelligence,random,mean,SC,-0.013036648774897413,1,2
fluid_intelligence,random,max,FC,-0.005881677021766934,1,2
fluid_intelligence,random,max,SC,-0.012903657844622388,1,2
fluid_intelligence,random,bridge,FC,-0.006621381338514783,1,2
fluid_intelligence,random,bridge,SC,0.006639404891477775,1,2
fluid_intelligence,matched,prod,FC,-0.0008117687913232977,1,3
fluid_intelligence,matched,prod,SC,-0.015085355318384168,1,3
fluid_intelligence,matched,mean,FC,-0.0044728912387752805,1,3
fluid_intelligence,matched,mean,SC,-0.017450655871587385,1,3
fluid_intelligence,matched,max,FC,0.0005208490033947032,1,3
fluid_intelligence,matched,max,SC,-0.01961858824438973,1,3
fluid_intelligence,matched,bridge,FC,-0.00732879814979223,1,3
fluid_intelligence,matched,bridge,SC,-0.011222813903995647,1,3
fluid_intelligence,unrelated,prod,FC,0.012341856487021359,1,3
fluid_intelligence,unrelated,prod,SC,-0.0336476742924169,1,3
fluid_intelligence,unrelated,mean,FC,-0.0065198293661543295,1,3
fluid_intelligence,unrelated,mean,SC,-0.029378373302130306,1,3
fluid_intelligence,unrelated,max,FC,-0.00959528219132912,1,3
fluid_intelligence,unrelated,max,SC,-0.018601548776155885,1,3
fluid_intelligence,unrelated,bridge,FC,-0.027487469467840246,1,3
fluid_intelligence,unrelated,bridge,SC,-0.010628982951610483,1,3
fluid_intelligence,shuffled,prod,FC,-0.08179409466905248,1,3
fluid_intelligence,shuffled,prod,SC,-0.009840247806920562,1,3
fluid_intelligence,shuffled,mean,FC,-0.0917847550006013,1,3
fluid_intelligence,shuffled,mean,SC,-0.02114294684732116,1,3
fluid_intelligence,shuffled,max,FC,-0.07834823213995998,1,3
fluid_intelligence,shuffled,max,SC,-0.019462779223156503,1,3
fluid_intelligence,shuffled,bridge,FC,-0.05545759179449816,1,3
fluid_intelligence,shuffled,bridge,SC,-0.02589353946947557,1,3
fluid_intelligence,random,prod,FC,-0.017098694453944515,1,3
fluid_intelligence,random,prod,SC,0.002179936088414979,1,3
fluid_intelligence,random,mean,FC,-0.019742529505368235,1,3
fluid_intelligence,random,mean,SC,0.006833924598297046,1,3
fluid_intelligence,random,max,FC,-0.012045494168692347,1,3
fluid_intelligence,random,max,SC,0.0121658993429219,1,3
fluid_intelligence,random,bridge,FC,-0.004038207751784954,1,3
fluid_intelligence,random,bridge,SC,0.010823515981975972,1,3
fluid_intelligence,matched,prod,FC,0.0007213586181500017,1,4
fluid_intelligence,matched,prod,SC,0.0029202932208266877,1,4
fluid_intelligence,matched,mean,FC,-0.009680395019484199,1,4
fluid_intelligence,matched,mean,SC,0.002879096337315489,1,4
fluid_intelligence,matched,max,FC,-0.007015841435242069,1,4
fluid_intelligence,matched,max,SC,0.0013497992359549102,1,4
fluid_intelligence,matched,bridge,FC,-0.019473055228990104,1,4
fluid_intelligence,matched,bridge,SC,0.0012228129927705587,1,4
fluid_intelligence,unrelated,prod,FC,0.011427668334019156,1,4
fluid_intelligence,unrelated,prod,SC,-0.019564919844908414,1,4
fluid_intelligence,unrelated,mean,FC,-0.016837649409169653,1,4
fluid_intelligence,unrelated,mean,SC,-0.0017297622954943479,1,4
