experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E0,baseline,none,none,7,1,seed07_fold01,279,50,83,20,4.606237411499023,60.19304013252258,16.870967741935484,4.956207808160297,False,0.0895327478647232,4.7415771484375,3.9084155559539795,-0.2446683794260025,-0.24982807606052476,0.1111111111111111,-0.40241336822509766,-0.38095238095238104,0.2,-0.24002838134765625,-0.24982807606052476,0.1111111111111111
E0,baseline,none,none,7,2,seed07_fold02,280,50,82,11,4.88546085357666,47.62456798553467,16.87142857142857,4.785906179521667,False,0.07086953520774841,5.234152317047119,4.556061267852783,-0.5120058655738831,-0.49460215885821585,0.0,-0.5857565402984619,-0.5476190476190477,0.0,-0.5061978697776794,-0.49460215885821585,0.0
E0,baseline,none,none,7,3,seed07_fold03,280,50,82,7,4.683926582336426,45.32620143890381,16.742857142857144,4.905349017102844,False,0.16236530244350433,4.872551918029785,4.216479778289795,-0.2976430058479309,-0.2979408933472233,0.0,-0.3672000765800476,-0.38095238095238104,0.0,-0.2856658697128296,-0.2979408933472233,0.0
E0,baseline,none,none,7,4,seed07_fold04,280,50,82,41,4.548489093780518,85.82835125923157,16.90357142857143,4.995854148538505,False,0.053298916667699814,4.765726566314697,3.9601938724517822,-0.507733166217804,-0.5453818065820222,0.0,-0.6598160862922668,-0.523809523809524,0.0,-0.5034805536270142,-0.5453818065820222,0.0
E0,baseline,none,none,8,0,seed08_fold00,279,50,83,12,4.682163715362549,47.08319640159607,16.7168458781362,4.991257885993287,False,0.1507270634174347,4.5745720863342285,3.7215001583099365,-0.2746133804321289,-0.3438663103877547,0.0,-0.0531587079167366,-0.023809523809523815,0.2,-0.259676069021225,-0.3438663103877547,0.0
E0,baseline,none,none,8,1,seed08_fold01,279,50,83,20,4.94260835647583,60.74526858329773,16.695340501792113,4.938004161512249,False,0.20697620511054993,4.523334503173828,3.9349350929260254,-0.42556530237197876,-0.4185924973361532,0.0,-0.47156068682670593,-0.5000000000000001,0.0,-0.4159911870956421,-0.4185924973361532,0.0
E0,baseline,none,none,8,2,seed08_fold02,280,50,82,18,4.6189188957214355,58.64775562286377,17.025,4.7737470308224035,False,0.28117647767066956,5.10852575302124,4.376584529876709,-0.5202935338020325,-0.5234229050240388,0.0,-0.6799392700195312,-0.5000000000000001,0.0,-0.5295941829681396,-0.5234229050240388,0.0
E0,baseline,none,none,8,3,seed08_fold03,280,50,82,6,4.793945789337158,46.18645358085632,16.84642857142857,4.912228338025214,False,0.1325647383928299,4.870444297790527,4.145511150360107,-0.39942842721939087,-0.39790708222285587,0.0,-0.4035302996635437,-0.4047619047619048,0.0,-0.38626614212989807,-0.39790708222285587,0.0
E0,baseline,none,none,8,4,seed08_fold04,280,50,82,16,4.854574203491211,51.28359031677246,17.089285714285715,4.851644734793868,False,0.17805752158164978,4.9873576164245605,4.115211486816406,-0.17701900005340576,-0.1803606390190075,0.05263157894736842,-0.32207584381103516,-0.28571428571428575,0.2,-0.1657899171113968,-0.1803606390190075,0.05263157894736842
E0,baseline,none,none,9,0,seed09_fold00,279,50,83,17,4.831006050109863,51.454275131225586,16.82078853046595,4.979902054039361,False,0.24832171201705933,4.600876331329346,3.8450379371643066,-0.4870748221874237,-0.4551390612664064,0.0,-0.5804446339607239,-0.4285714285714286,0.0,-0.48293641209602356,-0.4551390612664064,0.0
E0,baseline,none,none,9,1,seed09_fold01,279,50,83,25,4.488056659698486,50.25308299064636,17.021505376344088,4.77893787323163,False,-0.07468438893556595,5.849187850952148,4.852563381195068,-0.48802509903907776,-0.5011943239836509,0.0,-0.525854766368866,-0.3333333333333334,0.0,-0.4854103624820709,-0.5011943239836509,0.0
E0,baseline,none,none,9,2,seed09_fold02,280,50,82,30,4.482320308685303,57.28265738487244,16.678571428571427,4.982494867236776,False,0.2644376754760742,4.697106838226318,3.880662441253662,-0.6494691967964172,-0.6400442989703731,0.0,-0.8184038996696472,-0.7142857142857144,0.0,-0.6511820554733276,-0.6400442989703731,0.0
E0,baseline,none,none,9,3,seed09_fold03,280,50,82,6,5.139011859893799,35.97612714767456,16.825,4.919503822251067,False,0.2592078745365143,4.526072978973389,3.8982439041137695,0.0884457603096962,0.10955978675893638,0.05263157894736842,0.14158332347869873,0.261904761904762,0.2,0.10731082409620285,0.10955978675893638,0.05263157894736842
E0,baseline,none,none,9,4,seed09_fold04,280,50,82,45,4.540424346923828,77.85357904434204,16.928571428571427,4.778886387228809,False,0.09619782865047455,5.620696067810059,4.6052961349487305,-0.5763845443725586,-0.5760653388022295,0.0,-0.6974594593048096,-0.4761904761904762,0.0,-0.5864191055297852,-0.5760653388022295,0.0
