method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha1,best_alpha2,best_val_rmse,runtime_seconds,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,2,1,seed02_fold01,279,50,83,0.1,0.5,4.432301598287691,9.58934235572815,False,0.38632878879400684,4.51670113431214,3.8916608830790844,-0.9470632023164203,-0.7444402230477184,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,2,1,seed02_fold01,279,50,83,0.1,0.5,4.439491167913707,8.636502742767334,False,0.3805193179372576,4.513126978243519,3.9144548772910195,-0.722555514666928,-0.5886748933225695,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,2,2,seed02_fold02,280,50,82,0.01,0.0,4.069917276811065,8.661176681518555,False,0.313424398629674,5.098756010863091,4.2043348791638175,-0.03876657821054037,-0.012385279932635709,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,2,2,seed02_fold02,280,50,82,0.01,0.0,4.069917276811074,7.953470468521118,False,0.31342439862967325,5.098756010863092,4.204334879163819,-0.14804397852701162,-0.18277277216717808,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,2,2,seed02_fold02,280,50,82,0.01,0.0,4.069917276811057,8.785752773284912,False,0.31342439862967353,5.098756010863091,4.204334879163818,-0.0838605179029307,-0.025133587052627537,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,2,3,seed02_fold03,280,50,82,10.0,0.0,4.723138269123974,9.017192125320435,False,0.3034328962158322,4.564109145701193,3.897416409990442,0.06031558071029157,0.12003233999229808,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,2,3,seed02_fold03,280,50,82,10.0,0.0,4.723138269123976,8.274062156677246,False,0.303432896215832,4.5641091457011935,3.897416409990442,0.013751922989420556,0.024430963480021727,0.17647058823529413
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,2,3,seed02_fold03,280,50,82,1.0,10.0,4.702029775379989,9.146105289459229,False,0.2139037147182436,4.5827587788132504,3.7830438232988657,-0.7533596940062633,-0.6469995771345097,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,2,4,seed02_fold04,280,50,82,0.1,1.0,4.715673908521644,8.45720911026001,False,0.4564659751792944,4.255768681609349,3.4809766926923524,-0.9509533151866509,-0.7433215526021902,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,2,4,seed02_fold04,280,50,82,0.1,0.0,4.8388498621994405,8.605276823043823,False,0.45298038000997193,4.275923573334411,3.4419896794276705,-0.06370686035117287,-0.06218609101660478,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,2,4,seed02_fold04,280,50,82,0.1,0.0,4.838849862199436,8.382755517959595,False,0.4529803800099723,4.27592357333441,3.4419896794276705,-0.006940323137775303,0.028747164879098914,0.1111111111111111
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,3,0,seed03_fold00,279,50,83,1.0,10.0,4.885426060737342,8.454834938049316,False,0.4723752308867284,4.519195087428534,3.8271516402200074,-0.9194711587141368,-0.7381277255336656,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,3,0,seed03_fold00,279,50,83,1.0,0.0,4.951980703656529,9.019712448120117,False,0.4954267582322512,4.4413289793620025,3.7715603604981465,-0.1019893451251922,-0.07802726357560498,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,3,0,seed03_fold00,279,50,83,1.0,0.0,4.951980703656526,9.733935356140137,False,0.49542675823225063,4.441328979362003,3.771560360498148,-0.013754308262859921,0.09599815476876947,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,3,1,seed03_fold01,279,50,83,0.1,0.0,4.27628589904651,10.664933919906616,False,0.24908354978578812,4.810667722683533,4.039870685442041,-0.10472222590391733,-0.10273290060251983,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,3,1,seed03_fold01,279,50,83,0.1,0.0,4.276285899046513,11.578784227371216,False,0.2490835497857889,4.81066772268353,4.039870685442038,-0.12605353876192346,-0.11478857227888378,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,3,1,seed03_fold01,279,50,83,0.1,0.0,4.2762858990464965,10.734655380249023,False,0.2490835497857895,4.8106677226835295,4.039870685442038,-0.06813046310410391,-0.006942682504901396,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,3,2,seed03_fold02,280,50,82,0.01,0.0,4.323563763593991,9.212201118469238,False,0.46920912613212407,4.446310097665536,3.5476337944757264,-0.10697499750266445,-0.07917090434357818,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,3,2,seed03_fold02,280,50,82,0.01,0.0,4.323563763594007,8.752541780471802,False,0.46920912613212223,4.446310097665541,3.547633794475729,-0.1535488140247738,-0.16181767757147672,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,3,2,seed03_fold02,280,50,82,0.01,0.0,4.323563763593997,8.725374460220337,False,0.46920912613212384,4.4463100976655365,3.5476337944757255,-0.111695149972528,-0.08259716295698306,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,3,3,seed03_fold03,280,50,82,1.0,5.0,4.945987630161469,9.218714714050293,False,0.4930996621267766,4.620413678576792,3.848299722124272,-0.9083370325739025,-0.7378180935353496,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,3,3,seed03_fold03,280,50,82,1.0,10.0,4.914315150515488,10.284277439117432,False,0.4798977031745018,4.651226927627706,3.8570741496153857,-0.9443336423476157,-0.7477462937394139,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,3,3,seed03_fold03,280,50,82,1.0,0.0,4.96420594419914,10.38501238822937,False,0.5027586830559531,4.578498249913353,3.8012930739728006,-0.032779394806637455,0.005012878176296467,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,3,4,seed03_fold04,280,50,82,1.0,0.0,4.559343926036289,9.828296661376953,False,0.3667203075029385,4.224343597495598,3.6368853117164037,-0.008392527390166517,0.02810160087941175,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,3,4,seed03_fold04,280,50,82,1.0,2.0,4.547025882468749,8.677271604537964,False,0.36059940180570316,4.236342304513324,3.643142807741976,-0.8541697232099195,-0.7242542143833179,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,3,4,seed03_fold04,280,50,82,1.0,1.0,4.551920358676237,8.70995283126831,False,0.3530348332409324,4.249354547255207,3.6591216908986697,-0.6013713966641193,-0.5618421558451544,0.0
