target,prior_type,lifting,seed,marginal_pearson_mean,marginal_pearson_std,marginal_spearman_mean,marginal_spearman_std,ridge_pearson_mean,ridge_pearson_std,ridge_spearman_mean,ridge_spearman_std
working_memory,matched,max,5,0.061545982999639884,0.018731671940757227,0.06369475292949862,0.01916474737732462,-0.023329273111704536,0.0038773266684981847,-0.06376642127815728,0.006729880578198381
working_memory,matched,max,6,0.053024853781742376,0.022732644392420755,0.05676662600192397,0.02339880263803824,-0.024074429998214474,0.005288939149808244,-0.06436176425493809,0.0022035125884757472
working_memory,matched,max,7,0.07264028969313864,0.022655296474823495,0.07203797772810491,0.023129002754899815,-0.02391913617421755,0.005314621083459327,-0.06588999597345016,0.004004423024411798
working_memory,matched,max,8,0.07462889770136313,0.02284163653813498,0.0731385302511591,0.019641066170396203,-0.025279939104483902,0.002881401036844749,-0.06280318020541367,0.008013028934260544
working_memory,matched,max,9,0.06570623090597363,0.034635178535753895,0.06507774124206009,0.036861374599640756,-0.02532295072614792,0.005005854256978391,-0.06390776005063396,0.007067601941590395
working_memory,matched,mean,0,0.08506336445528308,0.030035221566456872,0.08180410463929187,0.025839391900408813,-0.03429696622659513,0.002171979873194835,-0.06414080877544476,0.0039119587081976066
working_memory,matched,mean,1,0.08989699568234676,0.026940902285429467,0.08518854044331353,0.024913139509135186,-0.035260880295197035,0.004891530333984525,-0.06648480675463819,0.00595453848579129
working_memory,matched,mean,2,0.062255909172699256,0.040662550802986884,0.061307247547648394,0.03725394001593171,-0.03498565511707506,0.0022643721041103425,-0.06739148727036995,0.005712284872579876
working_memory,matched,mean,3,0.0858229276448771,0.02439192065222017,0.07826226099642651,0.02092498691788268,-0.03533796021486618,0.0017937061709426088,-0.06739980676035166,0.006516600664157433
working_memory,matched,mean,4,0.09848034970811193,0.01810454683562077,0.09258447680073256,0.021603736101694578,-0.03457430196376591,0.0023062300844998614,-0.06447837080298459,0.011925497455770963
working_memory,matched,mean,5,0.07382901554753765,0.024542986533264716,0.07192524398321513,0.024389917786061092,-0.0336001677725968,0.00399863096740903,-0.06720156327475706,0.005467634755573474
working_memory,matched,mean,6,0.06731951362975788,0.030827037520763493,0.06925334275028303,0.03045299690817246,-0.034348181387574714,0.005431034740037615,-0.06758199272741777,0.0035023212388892696
working_memory,matched,mean,7,0.08312935362438857,0.025727486492046526,0.08063820754308422,0.024015409588447407,-0.03455369286401574,0.005746717392900146,-0.06855815324299733,0.003922283224125094
working_memory,matched,mean,8,0.0871890844590838,0.028201151712139202,0.08396534329797903,0.023306743756538857,-0.035590255311217456,0.003829643047159915,-0.06589592914269979,0.007643796749143738
working_memory,matched,mean,9,0.08006064570323493,0.04920153582150828,0.07673615440975659,0.04962211499348333,-0.03616369438231881,0.0054648500980024285,-0.06720453677140976,0.005278733185644235
working_memory,matched,prod,0,0.07030162140433814,0.027289418209785306,0.09280498722215143,0.03254798690920554,-0.032469987914068396,0.0028348665414754657,-0.07106298974119915,0.003017345672431069
working_memory,matched,prod,1,0.07747791417581631,0.02179601751869494,0.10105368809472874,0.02247636523917052,-0.033418338848446624,0.0021444688944425422,-0.07272194517958877,0.005486291986715026
working_memory,matched,prod,2,0.048173677999127876,0.03506632557198421,0.07179493999164446,0.04128676172613282,-0.03308854374789776,0.0030986038687742154,-0.07509868636762489,0.007959562579930515
