target,prior_type,lifting,seed,fold,marginal_pearson,marginal_spearman,ridge_pearson,ridge_spearman,ridge_alpha,n_train,n_val,n_test
fluid_intelligence,matched,max,1,3,0.07197059008516953,0.0644595858450263,-0.03027370577683755,-0.044649157971929025,1000.0,280,50,82
fluid_intelligence,unrelated,max,1,3,0.08990150975492274,0.09080580943629117,-0.02697700495748721,-0.06151473264240025,1000.0,280,50,82
fluid_intelligence,shuffled,max,1,3,-0.04892267586645414,-0.04560620782380913,0.02571490823202903,-0.0009654275434015611,1000.0,280,50,82
fluid_intelligence,random,max,1,3,-0.04853627365852142,-0.053497007012996894,0.01655795468901903,-0.004313950935072416,1000.0,280,50,82
fluid_intelligence,matched,bridge,1,3,0.05963126979163742,0.05360112917711001,-0.026099731704174553,-0.03231649832620043,1000.0,280,50,82
fluid_intelligence,unrelated,bridge,1,3,0.07269599140709342,0.07511234989076905,-0.023508837299468895,-0.05439944757904284,1000.0,280,50,82
fluid_intelligence,shuffled,bridge,1,3,-0.04250288540643091,-0.04050306939021174,0.01123126549286153,-0.005582602672316546,1000.0,280,50,82
fluid_intelligence,random,bridge,1,3,-0.0028338743177896836,-0.0019521952594743267,0.007682660680362617,0.001346635567661622,1000.0,280,50,82
fluid_intelligence,matched,prod,1,4,0.025961373193828817,-0.00020915483941990058,-0.02210011971885979,-0.014094606229512658,1000.0,280,50,82
fluid_intelligence,unrelated,prod,1,4,0.011480053400765192,-0.029761782609623814,-0.02643523542043373,-0.07138417347719922,1000.0,280,50,82
fluid_intelligence,shuffled,prod,1,4,-0.05196247758473091,-0.057894015512184614,0.01957269387501971,-0.009607610911625057,1000.0,280,50,82
fluid_intelligence,random,prod,1,4,-0.0407843670608612,-0.052868362288728675,0.01336500196260784,-0.015908848834674444,1000.0,280,50,82
fluid_intelligence,matched,mean,1,4,0.02034981057947355,0.006547521245156504,-0.03225618294813862,-0.025691809008067796,1000.0,280,50,82
fluid_intelligence,unrelated,mean,1,4,0.005573782654458933,-0.014218394673901843,-0.028521909135813865,-0.05989302486128989,1000.0,280,50,82
