edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
3913,41,60,-0.05561555665131357,0.24872033055765547,-2.587135720772803,-7.874029575713779,-5.286893854940976
3914,41,61,-0.22246222660525428,0.45648285730730587,-3.3636585143557127,-7.027238917375584,-3.6635804030198713
3915,41,62,-0.1668466699539407,0.4074924567896079,-3.654274752872838,-6.622217400129764,-2.967942647256926
3916,41,63,0.0,0.0,-1.9321556828152557,-6.622217400129764,-4.690061717314508
3917,41,64,0.0,0.0,-3.817567891895859,-7.537709526720757,-3.7201416348248983
3918,41,65,-0.05561555665131357,0.24872033055765547,-3.8330123046105165,-7.027238917375584,-3.1942266127650676
3919,41,66,0.0,0.0,-3.0442373219057313,-6.622217400129764,-3.5779800782240327
3920,41,67,1.1123111330262712,2.278129578503827e-16,6.010452903782505,2.210424993566967,-3.8000279102155377
3921,41,68,0.0,0.0,-4.392891689251481,-5.930399812740331,-1.537508123488849
3922,41,69,0.0,0.0,-4.722247720564766,-6.622217400129764,-1.8999696795649974
3923,41,70,-0.05561555665131357,0.2487203305576555,-1.1117849306140446,-5.930399812740331,-4.818614882126286
3924,41,71,-0.05561555665131357,0.2487203305576555,-1.7790377103849018,-7.314699120584546,-5.535661410199644
3925,41,72,-0.05561555665131357,0.24872033055765547,-1.28182119901542,-6.622217400129764,-5.340396201114344
3926,41,73,-0.05561555665131357,0.2487203305576555,-1.627326329522024,-6.622217400129764,-4.99489107060774
3927,41,74,0.8898489064210169,0.4564828573073058,5.797681626075246,2.902906714021749,-2.894774912053497
3928,41,75,1.1123111330262712,2.278129578503827e-16,7.10695814208253,2.902906714021749,-4.204051428060781
3929,41,76,-0.22246222660525428,0.45648285730730587,-2.5557296225562585,-7.027238917375584,-4.471509294819326
3930,41,77,-0.11123111330262714,0.3423621429804794,-2.022507467104994,-7.027238917375584,-5.00473145027059
3931,41,78,0.0,0.0,-2.230464595814639,-5.930399812740331,-3.6999352169256916
3932,41,79,-0.05561555665131357,0.24872033055765547,4.873471236514172,0.0,-4.873471236514172
3933,41,80,1.001080019723644,0.3423621429804794,8.627439192381903,3.594724301411182,-5.0327148909707216
3934,41,81,-0.05561555665131357,0.2487203305576555,5.137503606046013,0.0,-5.137503606046013
3935,41,82,-0.05561555665131357,0.24872033055765547,-3.467500916640542,-5.930399812740331,-2.4628988960997886
3936,41,83,0.0,0.0,-2.705901797969729,-5.930399812740331,-3.2244980147706017
3937,41,84,-0.11123111330262714,0.3423621429804794,-2.2942446647941512,-6.622217400129764,-4.327972735335613
3938,41,85,1.1123111330262712,2.278129578503827e-16,7.161509525435109,3.594724301411182,-3.5667852240239277
3939,41,86,0.0,0.0,2.1306253960815815,0.0,-2.1306253960815815
3940,41,87,-0.11123111330262714,0.34236214298047934,-4.628196693424223,-5.930399812740331,-1.3022031193161074
3941,41,88,0.0,0.0,0.3167489360927359,0.0,-0.3167489360927359
3942,41,89,0.0,0.0,0.9789706761057122,0.0,-0.9789706761057122
3943,41,90,0.0,0.0,3.9271769072680742,0.0,-3.9271769072680742
3944,41,91,1.1123111330262712,2.278129578503827e-16,8.125996715495226,3.594724301411182,-4.531272414084045
3945,41,92,1.1123111330262712,2.278129578503827e-16,4.000780310488734,2.497885196775928,-1.502895113712806
3946,41,93,1.0566955763749575,0.2487203305576554,4.612344350053209,3.594724301411182,-1.0176200486420268
3947,41,94,-0.05561555665131357,0.2487203305576555,-3.1619142860689986,-5.930399812740331,-2.768485526671332
3948,41,95,0.0,0.0,1.879674519037274,0.0,-1.879674519037274
3949,41,96,0.0,0.0,3.169626541419027,0.0,-3.169626541419027
3950,41,97,0.0,0.0,3.2680450287301968,0.0,-3.2680450287301968
3951,41,98,0.9748442829273112,0.4315911231924983,7.921907505574058,3.594724301411182,-4.327183204162877
3952,41,99,1.001080019723644,0.34236214298047946,7.265489204581582,2.902906714021749,-4.362582490559833
3953,41,100,1.1123111330262712,2.278129578503827e-16,5.181163107776683,3.594724301411182,-1.5864388063655013
3954,41,101,0.0,0.0,-4.744253635120261,-5.930399812740331,-1.18614617762007
3955,41,102,0.0,0.0,0.8896261869830535,0.0,-0.8896261869830535
