edge_idx,roi_i,roi_j,fip3_score
704,6,36,0.6427382422393504
705,6,37,0.0
706,6,38,0.6305701020658728
707,6,39,0.7485739416807976
708,6,40,0.0
709,6,41,0.0
710,6,42,0.0
711,6,43,0.5277789822133617
712,6,44,0.47308036244893953
713,6,45,0.0
714,6,46,0.5220420642089444
715,6,47,0.0
716,6,48,0.6700338846886279
717,6,49,0.5305407924493795
718,6,50,0.6324933269149656
719,6,51,0.0
720,6,52,0.6603555336900011
721,6,53,0.7605305998255254
722,6,54,0.0
723,6,55,0.0
724,6,56,0.7700792438065878
725,6,57,0.0
726,6,58,0.721649321313134
727,6,59,0.7316694626470055
728,6,60,0.0
729,6,61,0.0
730,6,62,0.0
731,6,63,0.0
732,6,64,0.7535703058232215
733,6,65,0.0
734,6,66,0.0
735,6,67,0.0
736,6,68,0.0
737,6,69,0.0
738,6,70,0.0
739,6,71,0.0
740,6,72,0.7681680990117621
741,6,73,0.6574851734760744
742,6,74,0.0
743,6,75,0.6681161144150883
744,6,76,0.6590250830437018
745,6,77,0.0
746,6,78,0.0
747,6,79,0.6159370848626208
748,6,80,0.0
749,6,81,0.6507199001471194
750,6,82,0.0
751,6,83,0.0
752,6,84,0.0
753,6,85,0.0
754,6,86,0.4001232375137699
755,6,87,0.0
756,6,88,0.07298142536209298
757,6,89,0.10298971853659349
758,6,90,0.4678000785486672
759,6,91,0.0
760,6,92,0.0
761,6,93,0.0
762,6,94,0.0
763,6,95,0.4153873485533616
764,6,96,0.4775763789288343
765,6,97,0.4490250880472719
766,6,98,0.0
767,6,99,0.0
768,6,100,0.0
769,6,101,0.0
770,6,102,0.21397437340282213
771,6,103,0.0
772,6,104,0.054998623299841995
773,6,105,0.0
774,6,106,0.40523981011154653
775,6,107,0.1607115037146467
776,6,108,0.3162432421671341
777,6,109,0.4066673472781077
778,6,110,0.521517816643626
779,6,111,0.5699170274893663
780,6,112,0.0
781,6,113,0.24378670858535953
782,6,114,0.7641147638398376
783,6,115,0.24284268524867328
784,7,8,0.0
785,7,9,0.0
786,7,10,0.0
787,7,11,0.0
788,7,12,0.8355531481009433
789,7,13,0.7234695233675605
790,7,14,0.4469145364506058
791,7,15,0.0
792,7,16,0.0
793,7,17,0.6894811388765625
794,7,18,0.0
795,7,19,0.46912366813564876
796,7,20,0.7590226457312987
797,7,21,0.39662773933914325
798,7,22,0.0
799,7,23,0.0
800,7,24,0.0
801,7,25,0.0
802,7,26,0.38668748011103393
803,7,27,0.24685020599895358
804,7,28,0.0
805,7,29,0.0
806,7,30,0.0
807,7,31,0.0
808,7,32,0.600553118990077
809,7,33,0.772575013213898
810,7,34,0.0
811,7,35,0.0
812,7,36,0.6240323798642241
813,7,37,0.0
814,7,38,0.6505908013389153
815,7,39,0.0
816,7,40,0.0
817,7,41,0.0
818,7,42,0.0
819,7,43,0.6176564403573609
820,7,44,0.5007228349491494
821,7,45,0.0
822,7,46,0.44260078942516107
823,7,47,0.0
824,7,48,0.0
825,7,49,0.6056009760208739
826,7,50,0.5585889242618235
827,7,51,0.0
828,7,52,0.0
