set,study_id,n_peaks
background,18005067,47
background,18023825,13
background,18028117,4
background,18029199,72
background,18032069,33
background,18033767,11
background,18033768,64
background,18035557,264
background,18037455,40
background,18042643,40
background,18053746,20
background,18055028,19
background,18057110,54
background,18058090,10
background,18060812,44
background,18061483,38
background,18063476,15
background,18063566,115
background,18064585,53
background,18065722,32
background,18077465,170
background,18077688,62
background,18079289,38
background,18082427,80
background,18083602,109
background,18086536,42
background,18093736,163
background,18093809,59
background,18094962,11
background,18095277,21
background,18096139,35
background,18096407,38
background,18096410,39
background,18096681,9
background,18155254,5
background,18155446,5
background,18158178,13
background,18160644,64
background,18164213,40
background,18164628,35
background,18165283,9
background,18166203,8
background,18171926,15
background,18172852,24
background,18174910,13
background,18177676,5
background,18182174,16
background,18184572,27
background,18191116,222
background,18191160,55
background,18191960,13
background,18206186,28
background,18206391,55
background,18221758,35
background,18224306,16
background,18234415,27
background,18234519,30
background,18234685,34
background,18241912,57
background,18243736,22
background,18245043,99
background,18252741,10
background,18262207,94
background,18262208,42
background,18266216,14
background,18267339,13
background,18270173,36
background,18272399,82
background,18272874,38
background,18276163,63
background,18279364,66
background,18281303,40
background,18282558,74
background,18282770,10
background,18286463,14
background,18294618,17
background,18294683,16
background,18299209,6
background,18308706,17
background,18308711,7
background,18316728,68
background,18321537,12
background,18321871,16
background,18321924,46
background,18329093,12
background,18329633,83
background,18329672,2
background,18329673,25
background,18329905,51
background,18335036,14
background,18337009,16
background,18337125,10
background,18337398,28
background,18339409,16
background,18343462,41
background,18344173,86
background,18344175,14
background,18346831,12
background,18350284,33
background,18356027,4
background,18358742,4
background,18359777,81
background,18365029,59
background,18372164,1
background,18372290,44
background,18372293,60
background,18374603,16
background,18374902,16
background,18375064,29
background,18375148,88
background,18375149,33
background,18375529,27
background,18378168,12
background,18378467,18
background,18381635,36
background,18384958,21
background,18385330,39
background,18387583,14
background,18387584,8
background,18387824,45
background,18388350,177
background,18394660,229
background,18396063,37
background,18396414,17
background,18400793,46
background,18403120,9
background,18403397,59
background,18407300,7
background,18410362,50
background,18411061,41
background,18412112,22
background,18412133,11
background,18413290,37
background,18413350,44
background,18420234,38
background,18420426,20
background,18425505,21
background,18437279,31
background,18440493,28
background,18445024,9
background,18445220,16
background,18445531,41
background,18448453,18
background,18448649,19
background,18455372,106
background,18455373,23
background,18455740,15
background,18465747,64
background,18465748,30
background,18468692,35
background,18471055,20
background,18471837,79
background,18471869,48
background,18476755,13
background,18476766,160
background,18479670,42
background,18479943,386
background,18480270,24
background,18480284,8
background,18483003,58
background,18485420,137
background,18485743,21
background,18486975,41
background,18489966,6
background,18499478,100
background,18501457,32
background,18502045,23
background,18510438,11
background,18510442,28
background,18510447,104
background,18510448,73
background,18511023,9
background,18511304,6
background,18511306,26
background,18515150,108
background,18523591,36
background,18534567,10
background,18537112,55
background,18537114,14
background,18541279,13
background,18550595,37
background,18550756,19
background,18554874,21
background,18555209,23
background,18559283,9
background,18562102,26
background,18564040,38
background,18571627,46
background,18573510,155
background,18577390,91
background,18579347,11
background,18582580,39
background,18584891,15
background,18586110,74
background,18587523,49
background,18588987,26
background,18588988,6
background,18588989,140
background,18592230,59
background,18597794,26
background,18597795,16
background,18599025,5
background,18601940,8
background,18602483,243
background,18603609,22
background,18614265,38
background,18617009,40
background,18619668,11
background,18619985,99
background,18620789,153
background,18621033,10
background,18632934,5
background,18634891,21
background,18635241,25
background,18635394,16
background,18639536,16
background,18649349,18
background,18653664,12
background,18661505,68
background,18669589,38
background,18672352,94
background,18674589,62
background,18674847,9
background,18675363,140
background,18675364,11
background,18678469,31
background,18689860,34
background,18691703,27
background,18694836,26
background,18698363,62
background,18702587,11
background,18702594,31
background,18702722,10
background,18703146,9
background,18708149,13
background,18711707,33
background,18713781,100
background,18718326,14
background,18718456,28
background,18718543,10
background,18728773,5
background,18752396,111
background,18752404,15
background,18752405,85
background,18752414,10
background,18760292,12
background,18760691,18
background,18765806,6
background,18771738,15
background,18783371,13
background,18786565,6
background,18786644,8
background,18787229,41
background,18789907,5
background,18789955,24
background,18790065,29
background,18790618,65
background,18796346,22
background,18797499,60
background,18801443,23
background,18801444,15
background,18804123,5
background,18804514,24
background,18805496,3
background,18809234,33
background,18815774,8
background,18817740,92
background,18818053,96
background,18819106,320
background,18819988,10
background,18820289,8
background,18823226,26
background,18823230,17
background,18823239,109
background,18823241,21
background,18823245,19
background,18823252,54
background,18823254,17
background,18823255,111
background,18829134,33
background,18840533,20
background,18848999,57
background,18854323,63
background,18854581,69
background,18922517,12
background,18930749,21
background,18938008,12
background,18938199,3
background,18945600,45
background,18952070,42
background,18958158,34
background,18973604,18
background,18973817,77
background,18973818,77
background,18976807,16
background,18977304,13
background,18985132,26
background,18985133,35
background,18985135,38
background,18985142,21
background,18992228,53
background,19003956,32
background,19004769,21
background,19015077,38
background,19015082,8
background,19015083,44
background,19015096,15
background,19015104,3
background,19015112,93
background,19015371,52
background,19015373,25
background,19016606,69
background,19020203,1
background,19022337,4
background,19027079,43
background,19028382,30
background,19028527,18
background,19034897,107
background,19036762,5
background,19036975,10
background,19038275,32
background,19041332,80
background,19041896,44
background,19041965,42
background,19046394,9
background,19046993,7
background,19052218,11
