target,seed,fold,model_id,prior_type,pearson,rmse,mae,n_train,n_val,n_test,selected_lambda_fc,selected_lambda_sc,selected_lambda_l,selected_gamma,selected_lifting
fluid_intelligence,2,3,A3_msancr,random,0.444570307584472,4.5297634815191605,3.6509223168590554,280,50,82,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,3,A4_modality_ridge,matched,0.43649973067035325,4.545723147598795,3.650322835421751,280,50,82,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,3,A4_modality_ridge,random,0.43649973067035325,4.545723147598795,3.650322835421751,280,50,82,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,4,A0_ridge,matched,0.29310507964132076,4.8290975801974145,4.052973338291794,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,4,A0_ridge,random,0.29310507964132076,4.8290975801974145,4.052973338291794,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,4,A1_aniso_ridge,matched,0.3526887354765108,4.617484164279652,3.8012983959565654,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,4,A1_aniso_ridge,random,0.34918926742919754,4.602241021805706,3.8337157422076107,280,50,82,10.0,0.1,0.0,1.0,prod
fluid_intelligence,2,4,A2_fc_laplacian,matched,0.3588312660312254,4.586482163897752,3.8291903809513945,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,4,A2_fc_laplacian,random,0.35889755047066874,4.586327200353933,3.8290105709479647,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,4,A3_msancr,matched,0.3620928587598378,4.577152444260135,3.813190212881167,280,50,82,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,4,A3_msancr,random,0.3527404179992798,4.5970821515660685,3.8377626395490783,280,50,82,10.0,0.1,1.0,1.0,prod
fluid_intelligence,2,4,A4_modality_ridge,matched,0.3589054888883093,4.58627646611102,3.8289242070123004,280,50,82,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,4,A4_modality_ridge,random,0.3589054888883093,4.58627646611102,3.8289242070123004,280,50,82,10.0,0.1,0.0,0.0,none
working_memory,0,0,A0_ridge,matched,0.11563204384792491,10.450417319821852,8.740747076126961,279,50,83,0.1,0.1,0.0,0.0,none
working_memory,0,0,A0_ridge,random,0.11563204384792491,10.450417319821852,8.740747076126961,279,50,83,0.1,0.1,0.0,0.0,none
working_memory,0,0,A1_aniso_ridge,matched,0.12075880687245397,11.477603246179065,9.101412585526848,279,50,83,0.1,0.1,0.0,1.0,prod
working_memory,0,0,A1_aniso_ridge,random,0.258858359534321,10.197302586194212,8.401651328096294,279,50,83,0.1,0.1,0.0,1.0,prod
working_memory,0,0,A2_fc_laplacian,matched,0.21952528678189587,10.18097910526102,8.529863344860633,279,50,83,0.1,10.0,1.0,0.0,prod
working_memory,0,0,A2_fc_laplacian,random,0.2010926776286891,10.369602004669426,8.668717856973952,279,50,83,0.1,10.0,1.0,0.0,prod
working_memory,0,0,A3_msancr,matched,0.23215833880020398,10.015066073530486,8.343563207904927,279,50,83,0.1,1.0,1.0,1.0,prod
working_memory,0,0,A3_msancr,random,0.1957044219711209,10.398086000363929,8.670007685657836,279,50,83,0.1,10.0,1.0,1.0,prod
working_memory,0,0,A4_modality_ridge,matched,0.19892065938636666,10.416070048361055,8.731068223663302,279,50,83,0.1,10.0,0.0,0.0,none
working_memory,0,0,A4_modality_ridge,random,0.19892065938636666,10.416070048361055,8.731068223663302,279,50,83,0.1,10.0,0.0,0.0,none
working_memory,0,1,A0_ridge,matched,0.21422053296712462,11.313008200663884,9.064188038629561,279,50,83,10.0,10.0,0.0,0.0,none
working_memory,0,1,A0_ridge,random,0.21422053296712462,11.313008200663884,9.064188038629561,279,50,83,10.0,10.0,0.0,0.0,none
working_memory,0,1,A1_aniso_ridge,matched,0.1320334777459612,12.388958717389908,9.94747167540968,279,50,83,0.1,0.1,0.0,1.0,prod
working_memory,0,1,A1_aniso_ridge,random,0.1885229305887694,11.698160047476172,9.210756895386131,279,50,83,0.1,0.1,0.0,1.0,prod
working_memory,0,1,A2_fc_laplacian,matched,0.2211570008114166,11.098522640437443,8.833569344758084,279,50,83,0.1,1.0,1.0,0.0,prod
working_memory,0,1,A2_fc_laplacian,random,0.18984175949074356,11.334879078085978,9.130165892809517,279,50,83,0.1,1.0,1.0,0.0,prod
working_memory,0,1,A3_msancr,matched,0.18915857884971418,11.272625314416652,9.011715635001535,279,50,83,0.1,0.1,1.0,1.0,prod
working_memory,0,1,A3_msancr,random,0.17630689154411042,11.374789083677975,9.156107593186444,279,50,83,0.1,0.1,1.0,1.0,prod
working_memory,0,1,A4_modality_ridge,matched,0.17828937399569653,11.364204967897498,9.099968593303567,279,50,83,0.1,0.1,0.0,0.0,none
working_memory,0,1,A4_modality_ridge,random,0.17828937399569653,11.364204967897498,9.099968593303567,279,50,83,0.1,0.1,0.0,0.0,none
working_memory,0,2,A0_ridge,matched,0.10591148382816981,12.947816776518668,9.988767242642066,280,50,82,10.0,10.0,0.0,0.0,none
working_memory,0,2,A0_ridge,random,0.10591148382816981,12.947816776518668,9.988767242642066,280,50,82,10.0,10.0,0.0,0.0,none
working_memory,0,2,A1_aniso_ridge,matched,0.17020230199090652,12.183311519044517,9.452008528386914,280,50,82,1.0,1.0,0.0,1.0,prod
working_memory,0,2,A1_aniso_ridge,random,0.21930434831166562,12.480259170339378,9.44313076421128,280,50,82,0.1,0.1,0.0,1.0,prod
working_memory,0,2,A2_fc_laplacian,matched,0.148999926143899,11.840378984978983,9.62164771578398,280,50,82,1.0,10.0,1.0,0.0,prod
working_memory,0,2,A2_fc_laplacian,random,0.14543450483637613,11.849899077616405,9.628672751343833,280,50,82,1.0,10.0,1.0,0.0,prod
working_memory,0,2,A3_msancr,matched,0.1771463652738566,11.76325319850641,9.543348804301424,280,50,82,1.0,10.0,1.0,1.0,prod
working_memory,0,2,A3_msancr,random,0.18476968626235551,11.838160867857791,9.402133873031604,280,50,82,1.0,1.0,1.0,1.0,prod
working_memory,0,2,A4_modality_ridge,matched,0.14883016421542974,11.851409774819839,9.619012581690225,280,50,82,1.0,10.0,0.0,0.0,none
working_memory,0,2,A4_modality_ridge,random,0.14883016421542974,11.851409774819839,9.619012581690225,280,50,82,1.0,10.0,0.0,0.0,none
working_memory,0,3,A0_ridge,matched,0.3770446756419854,10.780824891444084,9.307318193623965,280,50,82,10.0,10.0,0.0,0.0,none
working_memory,0,3,A0_ridge,random,0.3770446756419854,10.780824891444084,9.307318193623965,280,50,82,10.0,10.0,0.0,0.0,none
working_memory,0,3,A1_aniso_ridge,matched,0.26311843985305555,11.039942211803474,9.310308476262936,280,50,82,10.0,1.0,0.0,1.0,prod
working_memory,0,3,A1_aniso_ridge,random,0.28674589727970645,10.97214516532458,9.29637864313474,280,50,82,10.0,1.0,0.0,1.0,prod
